Identification Level,External Identifier,Compound,sFEnD4_mean,sFED4_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,1.8843333333333334,0.18206666666666668,10.349688758696448,0.02420653906501632,0.13552202621305628
Tier 2,C17513,beta-D-Glucosyl crocetin,0.8248666666666667,0.13733333333333334,6.006310679611651,0.028041840343812723,0.14254715505137058
Tier 2,,Valyl-Hydroxyproline,1.29,0.22233333333333336,5.802098950524737,0.00015934358324516248,0.02519011221545042
Tier 2,,Hydroxyprolyl-Valine,1.9789999999999999,0.34700000000000003,5.703170028818443,0.01699789107402845,0.11957818720682804
Tier 2,,N-Acetyl-Sarcosine,2.6133333333333333,0.5216999999999999,5.009264583732669,0.0010542019561832683,0.05798110759007976
Tier 2,C05568,Imidazole lactic acid,2.8819999999999997,0.5843333333333333,4.9321163719338275,0.04640987904804115,0.18232452483159026
Tier 1,HMDB0028964,Lysyl-Valine,2.326,0.48133333333333334,4.832409972299169,0.010058670177466924,0.10897396016004622
Tier 2,,Dehydroisocoproporphyrinogen,0.7639999999999999,0.16,4.7749999999999995,0.048287435769354466,0.18489809266113577
Tier 2,C00134,Isomer 1 of Putrescine,0.7453333333333334,0.17956666666666665,4.150733246705031,0.003250180822331661,0.09350365001477098
Tier 1,HMDB0028955,Lysyl-Leucine/Leucyl-Lysine,2.3266666666666667,0.565,4.117994100294986,0.002660358808934305,0.09350365001477098
Tier 2,C15700,gamma-Glutamyl-gamma-aminobutyraldehyde,1.1376666666666666,0.2783333333333333,4.087425149700599,0.005309562898860002,0.09350365001477098
Tier 1,C03401,"2,3-Diaminoproprionic acid",1.4816666666666665,0.38400000000000006,3.8585069444444433,0.012574464428935393,0.10897396016004622
Tier 2,,Isomer 1 of Prolyl-Threonine,3.693,0.9690000000000002,3.8111455108359125,0.04921263340134831,0.18608527004884828
Tier 2,,Isomer 1 of Prolyl-Leucine,2.9966666666666666,0.79,3.793248945147679,0.00039883838414809,0.039694687094292344
Tier 1,C01205,3-Aminoisobutyric acid,1.4173333333333333,0.37666666666666665,3.76283185840708,0.004381860233654218,0.09350365001477098
Tier 2,,"N-Acetyl-3,4-Dihydroxy-L-phenylalanine",1.681,0.4620666666666667,3.638003174145145,0.013190434361312293,0.10897396016004622
Tier 2,C05730,Glutathionylspermidine,1.37,0.3953333333333333,3.4654300168634067,0.006766110360704103,0.10496145559553802
Tier 1,,4-Ethylguaiacol,0.1885,0.05566666666666667,3.3862275449101795,0.02446770689644271,0.13552202621305628
Tier 1,HMDB0029069,Threoninyl-Proline,1.1713333333333333,0.35000000000000003,3.3466666666666662,0.004089595207948683,0.09350365001477098
Tier 2,,L-2-Amino-5-hydroxypentanoic acid,0.9086666666666666,0.2796666666666667,3.2491060786650774,0.028980661274906745,0.14254715505137058
Tier 1,HMDB0029027,Prolyl-Threonine,2.1943333333333332,0.6996666666666668,3.136255359695092,0.035828084220433515,0.1583687883654661
Tier 1,HMDB0029030,Prolyl-Valine,2.058333333333333,0.674,3.053907022749752,0.005055806335219233,0.09350365001477098
Tier 2,C15699,gamma-L-Glutamylputrescine,1.6420000000000001,0.5386666666666667,3.048267326732673,0.00851001661096858,0.10897396016004622
Tier 2,C03955,N6-Acetyl-N6-hydroxy-L-lysine,1.4316666666666666,0.486,2.9458161865569275,0.01116953006489035,0.10897396016004622
Tier 2,C16827,1-O-(4-Coumaroyl)-beta-D-Glucose,0.7879999999999999,0.27,2.918518518518518,0.04905596310170187,0.18608527004884828
Tier 2,C06442,N(gamma)-Acetyldiaminobutyric acid,0.839,0.2916666666666667,2.8765714285714283,0.014911230499135897,0.11001578599972217
Tier 2,C17755,Dopamine quinone,1.9509999999999998,0.6800666666666667,2.8688363885893535,0.011433516612894044,0.10897396016004622
Tier 2,C03824,2-Aminomuconate semialdehyde,2.3776666666666664,0.8443333333333333,2.816028424792736,0.024864371751486362,0.13552202621305628
Tier 2,,Glutaminyl-Phenylalanine,2.063333333333333,0.737,2.7996381727725006,0.0053473595056033945,0.09350365001477098
Tier 1,HMDB0028944,Lysyl-Alanine,1.936,0.7040000000000001,2.7499999999999996,0.007677918149929565,0.10897396016004622
Tier 2,,beta-Alanyl-Lysine,2.1986666666666665,0.8153333333333332,2.6966475878986103,0.021868746282793828,0.12996051963431093
Tier 1,HMDB0028692,Alanyl-Lysine,1.8659999999999999,0.6956666666666668,2.6823191183517006,0.012795036670492988,0.10897396016004622
Tier 1,C00188,Threonine,2.3356666666666666,0.8863333333333333,2.6352012034599475,0.02564697368681153,0.1361089393028156
Tier 2,,Arginyl-Glutamine,1.7473333333333334,0.6648,2.6283594063377462,0.031315165905001725,0.14801308884785971
Tier 1,C00099,Beta-Alanine,1.728,0.6829999999999999,2.5300146412884335,0.0001871026255538336,0.02519011221545042
Tier 1,C00263,Homoserine,1.0286666666666668,0.4086666666666667,2.5171288743882547,0.003328292335124466,0.09350365001477098
Tier 2,C06052,5-Pyridoxolactone,2.3036666666666665,0.9306666666666666,2.4752865329512894,0.024478955192026784,0.13552202621305628
Tier 1,C00141,Valine,1.7943333333333336,0.7306666666666667,2.455748175182482,0.03129040773925587,0.14801308884785971
Tier 1,HMDB0029064,Threoninyl-Isoleucine,2.5416666666666665,1.0376666666666667,2.4494057179569544,0.025642490801474845,0.1361089393028156
Tier 1,HMDB0029026,Prolyl-Serine,2.448,1.0,2.448,0.038507056248302404,0.16291446874281787
Tier 2,,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",0.5706666666666665,0.236,2.418079096045197,0.008693089888981504,0.10897396016004622
Tier 2,,3-Oxopropanoic acid,0.9266666666666667,0.3833666666666667,2.4171811146856794,0.03738147471706198,0.16150223038058806
Tier 2,,"1,2-Dehydroreticuline",0.8076666666666666,0.3376666666666666,2.3919052319842056,0.026369269070757057,0.1375293774811036
Tier 2,,Aminoethoxyacetic acid,1.2303333333333335,0.515,2.3889967637540455,0.0017682349484871795,0.07294870173775155
