Identification Level,External Identifier,Compound,sFEnD2_mean,sFEnD1_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,C21777,4-Hydroxy-L-tryptophan,1.524,0.18666666666666665,8.164285714285715,0.010641834007679858,0.27036011678282584
Tier 2,,"4,6-Dihydroxyquinoline",0.8766666666666666,0.11733333333333333,7.471590909090908,0.02516781029206454,0.32593517623570273
Tier 2,,(6-Hydroxy-Indol-3-Yl)Acetyl-L-Phenylalanine,1.7993333333333332,0.29666666666666663,6.065168539325843,0.024974517628331003,0.32593517623570273
Tier 2,C15700,gamma-Glutamyl-gamma-aminobutyraldehyde,0.8366666666666666,0.1436666666666667,5.82366589327146,0.03968575394345636,0.32593517623570273
Tier 2,C16403,4-Amino-2-hydroxylamino-6-nitrotoluene,0.6983333333333334,0.12733333333333333,5.484293193717278,0.013266673319869965,0.2706148650426821
Tier 2,C17754,3-Methoxytyramine-betaxanthin,2.4273333333333333,0.519,4.67694283879255,0.02846861542178596,0.32593517623570273
Tier 1,HMDB0029069,Threoninyl-Proline,0.8653333333333334,0.204,4.241830065359478,0.042225824647753665,0.32593517623570273
Tier 2,,Hydroxyprolyl-Valine,1.5223333333333333,0.36366666666666664,4.186067827681027,0.04484804859815668,0.32593517623570273
Tier 2,,Isomer 1 of Prolyl-Leucine,0.31,0.07533333333333334,4.11504424778761,0.04510117550678564,0.32593517623570273
Tier 2,,L-alpha-Aspartyl-L-hydroxyproline,2.2596666666666665,0.5636666666666668,4.008870490833825,0.04581303795235673,0.32593517623570273
Tier 2,C01234,1-Aminocyclopropane-1-carboxylic acid,2.336,0.5890000000000001,3.9660441426146003,0.011918126944975325,0.27036011678282584
Tier 2,C00122,Isomer 2 of Fumaric acid,0.6786666666666666,0.17233333333333334,3.9381044487427466,0.030080780377605424,0.32593517623570273
Tier 2,,"5,6-Dihydroxyindole-2-carboxylic acid",1.5276666666666667,0.3916666666666666,3.900425531914894,0.038454958193347266,0.32593517623570273
Tier 2,C05730,Glutathionylspermidine,1.0456666666666667,0.27,3.8728395061728396,0.03475335430933695,0.32593517623570273
Tier 2,C00122,Isomer 1 of Fumaric acid,0.718,0.19433333333333333,3.694682675814751,0.029390405804622516,0.32593517623570273
Tier 2,,gamma-Glutamyl-Threonine,1.7286666666666666,0.4683333333333333,3.691103202846975,0.005321325174946715,0.26380658415874686
Tier 2,,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,0.4293333333333333,0.118,3.638418079096045,0.043226412483564895,0.32593517623570273
Tier 2,C03656,(S)-5-Amino-3-oxohexanoic acid,0.6226666666666666,0.17266666666666666,3.6061776061776056,0.028716140874963703,0.32593517623570273
Tier 2,,7-Hydroxy-2-Oxindole-3-Acetate,1.83,0.5193333333333333,3.523748395378691,0.002794968193682506,0.2158153293609245
Tier 2,C00041,Isomer 1 of Alanine,1.4233333333333336,0.41933333333333334,3.3942766295707476,0.049596602220838004,0.32938744218444926
Tier 2,,N-Acetyl-5-Amino-2-oxopentanoic acid,0.806,0.23933333333333331,3.3676880222841232,0.04055720469394742,0.32593517623570273
Tier 2,,3-Butynoic acid,1.0863333333333334,0.33466666666666667,3.24601593625498,0.02057122892937504,0.3221899233668334
Tier 2,C02926,L-3-Aminodihydro-2(3H)-furanone,1.609333333333333,0.5,3.218666666666666,0.013308927788984367,0.2706148650426821
Tier 2,C19872,N-Formyl-4-amino-5-aminomethyl-2-methylpyrimidine,1.0,0.31633333333333336,3.1612223393045307,0.036684216716272665,0.32593517623570273
Tier 2,C20920,Tabtoxinine-delta-lactam,1.4073333333333335,0.45446666666666663,3.0966700894821777,0.04286379762873011,0.32593517623570273
Tier 1,C00263,Homoserine,1.7123333333333335,0.5691,3.008844374158027,0.02840905522041366,0.32593517623570273
Tier 2,,(S)-2-Azetidinecarboxylic acid,2.1140000000000003,0.7060000000000001,2.9943342776203967,0.007460018613607415,0.26380658415874686
Tier 2,,2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylic acid,0.68,0.22723333333333331,2.992518703241896,0.002119951348175129,0.2047519677112479
Tier 2,C06185,Slaframine,0.7123333333333334,0.24213333333333334,2.9419052863436126,0.0010360140537315962,0.19019950497905522
Tier 2,,L-trans-4-Methyl-2-pyrrolidinecarboxylic acid,1.3216666666666665,0.452,2.9240412979351027,0.007339523683076602,0.26380658415874686
Tier 2,,Isomer 1 of 2'-Aminoacetophenone,0.47100000000000003,0.16506666666666667,2.8533925686591277,0.0429820534144159,0.32593517623570273
Tier 2,,Prolyl-Gamma-glutamic acid,0.16133333333333333,0.05866666666666667,2.7499999999999996,0.03656027125548628,0.32593517623570273
Tier 2,C20248,7-Carboxy-7-carbaguanine,0.596,0.219,2.721461187214612,0.010009964154701225,0.27036011678282584
Tier 2,C04397,3-Hydroxy-L-proline,0.387,0.14866666666666667,2.603139013452915,0.035282139698156245,0.32593517623570273
Tier 1,C01987,2-Aminophenol,1.2423333333333333,0.4834666666666667,2.569635962493105,0.03993970401307523,0.32593517623570273
Tier 2,C22137,4-Chloro-L-lysine,0.8493333333333334,0.33166666666666667,2.5608040201005027,0.007297953938317607,0.26380658415874686
Tier 1,HMDB0014389,Mesalazine,1.2433333333333334,0.4876666666666667,2.5495557074504442,0.01021955021324165,0.27036011678282584
Tier 2,,"N-Acetyl-4-(2-Aminophenyl)-2,4-dioxobutanoic acid",1.235,0.48533333333333334,2.544642857142857,0.0075113177543042675,0.26380658415874686
Tier 2,C12115,3-Amino-4-hydroxybenzoic acid,1.2193333333333334,0.48666666666666675,2.5054794520547943,0.011495198674411561,0.27036011678282584
