Identification Level,External Identifier,Compound,sFED3_mean,sMED3_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,"2,3-Dihydroxyindole",1.201,0.056666666666666664,21.194117647058825,0.006949901346929417,0.14798204575291174
Tier 2,C21762,4-Hydroxytryptamine,0.9246666666666666,0.06946666666666666,13.310940499040308,0.011691545354544381,0.18186731109617307
Tier 2,C06052,5-Pyridoxolactone,0.9076666666666666,0.1300666666666667,6.978472578165042,0.04923551548747302,0.3050900795905792
Tier 1,C00033,Acetic Acid,3.366,0.48993333333333333,6.870322492856171,0.000311340412773317,0.029027908549909616
Tier 1,C00328,Kynurenine,1.020333333333333,0.17813333333333334,5.727919161676645,0.030956119880639142,0.26109576452719574
Tier 2,C00974,Kaempferol,1.8016666666666667,0.3280666666666667,5.491769965454176,1.4814272571478933e-05,0.0062792724718370545
Tier 2,C00441,L-Aspartate 4-semialdehyde,0.49366666666666664,0.09176666666666666,5.379585906284054,0.011567998279364864,0.18186731109617307
Tier 2,,gamma-Glutamylalanine,1.2859999999999998,0.25233333333333335,5.096433289299867,7.978758127700961e-06,0.0062792724718370545
Tier 1,C00835,Sepiapterin,1.4879999999999998,0.3111,4.783027965284474,0.028541872832857702,0.25955265607379974
Tier 2,C06231,Ectoine,1.309,0.2743333333333333,4.771567436208992,0.026958856067508787,0.2592328490328794
Tier 2,,Isorhamnetin 3-Sulfate,1.8966666666666667,0.4201,4.514798063953028,0.026131347202731376,0.2592328490328794
Tier 2,,"2-Ethyl-3,4-dihydroxyfuran",2.6980000000000004,0.6022,4.48023912321488,0.0003325075435270288,0.029027908549909616
Tier 2,C05715,gamma-Amino-gamma-cyanobutanoic acid,1.95,0.47866666666666663,4.073816155988858,0.04528464347535605,0.3034825571968231
Tier 2,,Sinapoyl malic acid,2.0803333333333334,0.5888666666666666,3.5327748216913846,0.0015799447835223787,0.09852084257250263
Tier 2,,2-Amino-2-deoxy-D-gluconic acid,0.3546666666666667,0.1057,3.3554083885209716,0.0037909206497838918,0.12257310100967916
Tier 2,C10305,Barbaloin,0.8113333333333334,0.24409999999999998,3.3237744093950568,0.018031431569334618,0.22974369435511002
Tier 2,C20911,Tabtoxin biosynthesis intermediate 2,0.9846666666666667,0.2990333333333333,3.2928324601493704,0.007883758858179818,0.1479989675115937
Tier 2,,Prolyl-Glutamine,1.3463333333333332,0.4246666666666667,3.1703296703296697,0.024976440152463506,0.2561110996707516
