Description,Degree,Connected Nodes
"Glycine, serine and threonine metabolism",11,"Alanine, aspartate and glutamate metabolism, Tryptophan metabolism, Valine, leucine and isoleucine biosynthesis, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Arginine and proline metabolism, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, D-Amino acid metabolism, Cyanoamino acid metabolism"
Biosynthesis of amino acids,11,"Alanine, aspartate and glutamate metabolism, Tryptophan metabolism, Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Arginine and proline metabolism, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, D-Amino acid metabolism, Cyanoamino acid metabolism"
Aminoacyl-tRNA biosynthesis,11,"Alanine, aspartate and glutamate metabolism, Tryptophan metabolism, Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Arginine and proline metabolism, Cysteine and methionine metabolism, D-Amino acid metabolism, Cyanoamino acid metabolism"
"Alanine, aspartate and glutamate metabolism",10,"Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Arginine and proline metabolism, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, D-Amino acid metabolism, Cyanoamino acid metabolism"
"Valine, leucine and isoleucine biosynthesis",10,"Alanine, aspartate and glutamate metabolism, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Arginine and proline metabolism, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, D-Amino acid metabolism, Cyanoamino acid metabolism"
Monobactam biosynthesis,10,"Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Arginine and proline metabolism, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, D-Amino acid metabolism, Cyanoamino acid metabolism"
Pantothenate and CoA biosynthesis,10,"Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Biosynthesis of amino acids, Arginine and proline metabolism, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, D-Amino acid metabolism, Cyanoamino acid metabolism"
Cysteine and methionine metabolism,10,"Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Arginine and proline metabolism, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, Cyanoamino acid metabolism"
D-Amino acid metabolism,10,"Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Arginine and proline metabolism, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, Cyanoamino acid metabolism"
Arginine and proline metabolism,9,"Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, D-Amino acid metabolism"
Cyanoamino acid metabolism,9,"Alanine, aspartate and glutamate metabolism, Valine, leucine and isoleucine biosynthesis, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Cysteine and methionine metabolism, D-Amino acid metabolism"
Tryptophan metabolism,3,"Glycine, serine and threonine metabolism, Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis"
Linoleic acid metabolism,2,"alpha-Linolenic acid metabolism, Arachidonic acid metabolism"
alpha-Linolenic acid metabolism,2,"Linoleic acid metabolism, Arachidonic acid metabolism"
Arachidonic acid metabolism,2,"Linoleic acid metabolism, alpha-Linolenic acid metabolism"
