Identification Level,External Identifier,Compound,sMEnD2_mean,sMEnD1_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,Dhelwangin,0.8693333333333334,0.019799999999999998,43.90572390572391,0.019412832860358744,0.1308539226988487
Tier 1,,4-(4-Hydroxyphenyl)-2-butanone,0.9363333333333334,0.02563333333333333,36.52795838751626,0.02463461683675068,0.13899865161505764
Tier 1,HMDB0028838,Glycyl-Cysteine (S-S 2 charges),6.399,0.5536666666666666,11.557495484647804,0.03963381311531743,0.16809121048667677
Tier 2,C15700,gamma-Glutamyl-gamma-aminobutyraldehyde,1.1233333333333333,0.13266666666666668,8.467336683417084,0.0035781489689801615,0.08463417663363279
Tier 2,,4-Hydroxybenzeneacetonitrile,1.3490000000000002,0.1605333333333333,8.40323920265781,0.00016248889175416603,0.03284307817842246
Tier 2,C06185,Slaframine,2.341666666666667,0.28853333333333336,8.115757855822551,0.027752941315031414,0.14465683460467735
Tier 1,C00954,Indole-3-acetic acid,0.5833333333333334,0.083,7.028112449799197,0.03516863331096266,0.16304178402962288
Tier 2,,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",2.5733333333333337,0.385,6.683982683982685,0.04350816207990825,0.17240894539733298
Tier 1,HMDB0029069,Threoninyl-Proline,1.1116666666666666,0.17166666666666666,6.475728155339805,0.0016393561652541593,0.08090681545020954
Tier 2,,Salicylate beta-D-Glucose Ester,0.536,0.08633333333333333,6.208494208494209,0.032409484764438605,0.1596671935602893
Tier 2,,Dimethyl fukiic acid,0.5793333333333334,0.09500000000000001,6.098245614035087,0.03883171631181624,0.16793268360222025
Tier 2,C20417,Olivetol,2.5980000000000003,0.4613333333333333,5.631502890173412,0.0023184980659028825,0.08090681545020954
Tier 2,,L-prolyl-L-proline,2.447,0.451,5.425720620842572,0.02273984475113452,0.13772500679529381
Tier 2,C05730,Glutathionylspermidine,1.3916666666666666,0.2593333333333333,5.366323907455013,0.002296385261985016,0.08090681545020954
Tier 2,C03656,(S)-5-Amino-3-oxohexanoic acid,0.6006666666666667,0.11533333333333333,5.208092485549133,0.014730624789750582,0.1227652658398785
Tier 2,,N-Carboxyethyl-g-aminobutyric acid,1.1056666666666666,0.2213333333333333,4.995481927710844,0.0045712291775531445,0.09460811815685884
Tier 2,,"4,6-Dihydroxyquinoline",0.91,0.1831,4.96996176952485,0.016975766070139352,0.12364008533619385
Tier 2,,Hydroxyprolyl-Valine,1.9473333333333331,0.39299999999999996,4.955046649703139,0.016708173141804304,0.12364008533619385
Tier 2,C00122,Isomer 2 of Fumaric acid,1.211,0.25433333333333336,4.761467889908257,0.0034321804291753757,0.08407365364767194
Tier 2,,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,0.40166666666666667,0.08633333333333333,4.652509652509653,0.010883429815264257,0.1224650015135075
Tier 2,,L-trans-4-Methyl-2-pyrrolidinecarboxylic acid,3.332666666666667,0.7393333333333333,4.5076645626690715,0.04207314168591984,0.17139658059865065
Tier 2,C00122,Isomer 1 of Fumaric acid,1.2316666666666667,0.2753333333333333,4.473365617433414,0.0026012490652116715,0.08090681545020954
Tier 2,C18172,Carboxyspermidine,0.7383333333333333,0.16566666666666666,4.456740442655936,0.007767825292723394,0.11472661305514391
Tier 1,C02427,Homocitrulline,0.8736666666666665,0.19733333333333336,4.427364864864863,0.0188144391880435,0.12902920129551726
Tier 2,C01077,O-Acetyl-L-homoserine,1.3476666666666668,0.31033333333333335,4.342642320085929,0.04244246646403169,0.17139658059865065
