Description,Degree,Connected Nodes
"Alanine, aspartate and glutamate metabolism",12,"Pyruvate metabolism, C5-Branched dibasic acid metabolism, Citrate cycle (TCA cycle), Vitamin B6 metabolism, Biosynthesis of amino acids, Carbon metabolism, Oxidative phosphorylation, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
Carbon metabolism,12,"Alanine, aspartate and glutamate metabolism, Pyruvate metabolism, C5-Branched dibasic acid metabolism, Citrate cycle (TCA cycle), Vitamin B6 metabolism, Biosynthesis of amino acids, Oxidative phosphorylation, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
Butanoate metabolism,12,"Alanine, aspartate and glutamate metabolism, Pyruvate metabolism, C5-Branched dibasic acid metabolism, Citrate cycle (TCA cycle), Vitamin B6 metabolism, Biosynthesis of amino acids, Carbon metabolism, Oxidative phosphorylation, Glyoxylate and dicarboxylate metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
Glyoxylate and dicarboxylate metabolism,11,"Alanine, aspartate and glutamate metabolism, Pyruvate metabolism, C5-Branched dibasic acid metabolism, Citrate cycle (TCA cycle), Biosynthesis of amino acids, Carbon metabolism, Oxidative phosphorylation, Butanoate metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
Biosynthesis of amino acids,10,"Alanine, aspartate and glutamate metabolism, Pyruvate metabolism, C5-Branched dibasic acid metabolism, Citrate cycle (TCA cycle), Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
D-Amino acid metabolism,10,"Alanine, aspartate and glutamate metabolism, Pyruvate metabolism, C5-Branched dibasic acid metabolism, Citrate cycle (TCA cycle), Biosynthesis of amino acids, Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Arginine and proline metabolism, 2-Oxocarboxylic acid metabolism"
2-Oxocarboxylic acid metabolism,10,"Alanine, aspartate and glutamate metabolism, Pyruvate metabolism, C5-Branched dibasic acid metabolism, Citrate cycle (TCA cycle), Biosynthesis of amino acids, Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Arginine and proline metabolism, D-Amino acid metabolism"
Pyruvate metabolism,9,"Alanine, aspartate and glutamate metabolism, Citrate cycle (TCA cycle), Biosynthesis of amino acids, Carbon metabolism, Oxidative phosphorylation, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
Citrate cycle (TCA cycle),9,"Alanine, aspartate and glutamate metabolism, Pyruvate metabolism, Biosynthesis of amino acids, Carbon metabolism, Oxidative phosphorylation, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
C5-Branched dibasic acid metabolism,8,"Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
Arginine and proline metabolism,8,"Alanine, aspartate and glutamate metabolism, C5-Branched dibasic acid metabolism, Biosynthesis of amino acids, Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
Oxidative phosphorylation,7,"Alanine, aspartate and glutamate metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Zeatin biosynthesis"
Vitamin B6 metabolism,3,"Alanine, aspartate and glutamate metabolism, Carbon metabolism, Butanoate metabolism"
Zeatin biosynthesis,1,Oxidative phosphorylation
alpha-Linolenic acid metabolism,0,
