Identification Level,External Identifier,Compound,sMED3_mean,sMED2_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,Glycyl-Arginine,1.0666666666666667,0.13883333333333334,7.6830732292917165,0.0470802814393864,0.29262210416379725
Tier 2,C02714,N-Acetylputrescine,1.9453333333333334,0.37766666666666665,5.150926743159753,0.00037034610533106144,0.06739962352736525
Tier 1,HMDB0029071,Threoninyl-Threonine,0.805,0.16306666666666667,4.936631234668847,0.04014178140289806,0.2882541446479434
Tier 2,,N-Acetyl-Dopamine,0.36199999999999993,0.07873333333333334,4.597798475867908,0.00034247587774159237,0.06739962352736525
Tier 2,,Valyl-gamma-Glutamic acid,0.8039999999999999,0.18333333333333335,4.385454545454545,0.04393266630543111,0.2885187002164693
Tier 2,C05526,S-Glutathionyl-L-cysteine,1.4900000000000002,0.3403333333333333,4.378060724779629,0.04963463594625953,0.29262210416379725
Tier 2,,Isomer 1 of Prolyl-Alanine,1.8419999999999999,0.4313333333333333,4.27047913446677,0.00038602304425753296,0.06739962352736525
Tier 2,,Gly-Gly-Gly-Gly,0.6156666666666667,0.14933333333333332,4.122767857142858,0.0402829388855087,0.2882541446479434
Tier 2,C09163,Pisiferic acid,1.1706666666666667,0.291,4.022909507445591,0.009351041019207541,0.19840972730011885
Tier 2,C02165,Leukotriene B4,0.5433333333333333,0.161,3.3747412008281574,0.02967866250943496,0.2785963394829128
Tier 2,C05840,Iminoaspartic acid,1.0853333333333335,0.3316,3.2730197024527548,0.000219602433802466,0.06739962352736525
Tier 1,HMDB0029056,Threoninyl-Asparagine,0.8313333333333333,0.25533333333333336,3.255874673629242,0.033674022466479284,0.2785963394829128
Tier 2,,Arginyl-Threonine,0.92,0.2966666666666667,3.101123595505618,0.024278660884492296,0.2785963394829128
Tier 2,,gamma-L-Glutamyl-L-2-aminobutyric acid,0.7200000000000001,0.24156666666666668,2.9805436732441013,0.009520365352270445,0.19840972730011885
Tier 2,,N-Acetyl-(S)-Ureidoglycine,1.1173333333333335,0.3787,2.9504445031247255,0.0008983062972373084,0.09407410507797824
Tier 1,HMDB0028832,Glutamyl-Valine,0.5499999999999999,0.18666666666666668,2.9464285714285707,0.04705887927991742,0.29262210416379725
Tier 2,,3-Phenylpropionylglycine,0.614,0.21033333333333334,2.9191759112519806,0.0035183278099490956,0.13354348600372
Tier 1,HMDB0029012,Prolyl-Asparagine/Asparaginyl-Proline,0.6753333333333332,0.23933333333333331,2.821727019498607,0.0029662945370652477,0.12242513188352498
Tier 1,C00979,O-Acetyl-L-serine,3.8546666666666667,1.422,2.7107360525082047,0.03180185806305422,0.2785963394829128
Tier 1,C02265,D-phenylalanine,0.8146666666666667,0.3056666666666667,2.6652126499454742,0.039221121617435996,0.2853336597668468
Tier 2,,Gentisate aldehyde 2-O-glucuronide,1.5869999999999997,0.5997666666666667,2.646029011282165,0.0009698361348245179,0.09407410507797824
Tier 2,,N-Acetyl-Sepiapterin,1.4973333333333334,0.5746666666666668,2.6055684454756376,0.0017618915876017878,0.11941980969110826
Tier 2,,3-Methylhistamine,2.9143333333333334,1.1540000000000001,2.525418833044483,0.01912773198298733,0.2683287592212517
Tier 2,,Spermine dialdehyde,1.247,0.5106666666666667,2.441906005221932,0.027349531711643862,0.2785963394829128
Tier 2,C05786,(3Z)-Phycocyanobilin,1.6979999999999997,0.7106666666666667,2.389305816135084,0.021280641218870276,0.2744364615513633
Tier 2,C22137,Isomer 2 of 4-Chloro-L-lysine,1.1486666666666665,0.492,2.3346883468834685,0.005168566067683424,0.15907614831071187
Tier 2,C05951,Leukotriene D4,0.6819999999999999,0.313,2.178913738019169,0.008231872748508694,0.19840972730011885
Tier 2,C19911,Iminodiacetic acid,3.85,1.8326666666666667,2.1007639141506003,0.04461629384790763,0.2885187002164693
Tier 2,C00493,Shikimic acid,1.1153333333333333,0.536,2.0808457711442783,0.021033791089675246,0.2744364615513633
Tier 2,C05635,5-Hydroxyindoleacetic acid,1.7403333333333333,0.8386666666666667,2.0751192368839426,0.01498495923555541,0.2521441731478593
Tier 2,C02298,N-Acetylindoxyl,2.02,0.9796666666666667,2.0619258251105816,0.03851094580044596,0.28491572613380783
Tier 2,,Diphenol glucuronide,1.4256666666666666,0.729,1.955647005029721,0.003085169417454238,0.12242513188352498
Tier 2,C22137,4-Chloro-L-lysine,1.6186666666666667,0.8426666666666667,1.9208860759493671,0.0324652516539601,0.2785963394829128
Tier 2,,"3,4-Dihydroxyphenylethyleneglycol 4-O-glucuronide",0.9799999999999999,0.516,1.89922480620155,0.005284316496003029,0.15907614831071187
Tier 2,C00168,Hydroxypyruvic acid,1.0003333333333333,0.5283333333333333,1.8933753943217666,0.008975900974278804,0.19840972730011885
Tier 1,HMDB0028925,Leucyl-Aspartic acid,0.7116666666666668,0.377,1.8877099911582673,0.0290483415465065,0.2785963394829128
Tier 2,C12108,3-Dehydroshikimic acid,0.6863333333333334,0.36516666666666664,1.8795070743952536,0.03127044515068714,0.2785963394829128
Tier 2,C14516,Kojic acid,2.3189999999999995,1.234,1.8792544570502427,0.049366672187814764,0.29262210416379725
Tier 2,C00021,Isomer 1 of S-Adenosyl-L-homocysteine,1.09,0.581,1.8760757314974186,0.009603198076228085,0.19840972730011885
Tier 2,C22137,Isomer 3 of 4-Chloro-L-lysine,0.8693333333333334,0.47300000000000003,1.8379140239605356,0.0008631924689163261,0.09407410507797824
Tier 2,C16346,17-Hydroxylinolenic acid,0.4493333333333333,0.2451,1.8332653338773288,0.012058110801127007,0.22884197237791037
Tier 2,,Isomer 1 of Rhamnosylisoorientin,1.1323333333333332,0.6233333333333334,1.8165775401069515,0.0017783018625250942,0.11941980969110826
Tier 2,,Margaroylglycine,0.952,0.5406666666666667,1.76078914919852,0.013880839453147902,0.2521441731478593
Tier 2,C03194,(R)-1-Aminopropan-2-ol,0.3066666666666667,0.17666666666666667,1.7358490566037739,0.022398650882034177,0.2785963394829128
Tier 1,HMDB0029045,Seryl-Methionine,0.31466666666666665,0.18199999999999997,1.7289377289377292,0.028815678586076438,0.2785963394829128
Tier 2,C04742,5(S)-HETE,0.7846666666666667,0.45730000000000004,1.715868503535243,0.028773357667215164,0.2785963394829128
Tier 2,C00624,N-Acetyl-L-glutamic acid,2.174666666666667,1.2846666666666666,1.692786715101194,0.049085199473085726,0.29262210416379725
Tier 1,HMDB0002931,N-Acetyl-DL-serine,0.3726666666666667,0.22199999999999998,1.678678678678679,0.0142370364015095,0.2521441731478593
Tier 2,,N-Acetyl-1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,0.779,0.4836666666666667,1.6106133700895933,0.03598089937242186,0.28045826028682397
Tier 2,,N-Acetylvanilalanine,0.8569999999999999,0.5356666666666667,1.5998755444928434,0.04585511115155766,0.2922008177759842
Tier 2,,2-[(2-Aminoethylcarbamoyl)methyl]-2-hydroxybutanedioic acid,0.9306666666666666,0.5910000000000001,1.5747320924985897,0.010427382250624206,0.2022912156621096
Tier 2,C14777,12(S)-HETE,0.856,0.5670666666666667,1.5095226898659768,0.03361569145590112,0.2785963394829128
Tier 2,,L-erythro-4-Hydroxyglutamic acid,0.879,1.3223333333333334,0.6647340559616839,0.043659774151936524,0.2885187002164693
Tier 2,,6-Amino-2-oxohexanoic acid,0.4237,0.6392666666666668,0.6627906976744186,0.016996860109639696,0.26496890849491883
Tier 2,,Aminoethoxyacetic acid,0.9326666666666666,1.4366666666666668,0.6491879350348028,0.03151747976321017,0.2785963394829128
Tier 1,C00148,Proline,0.9006666666666666,1.414,0.636963696369637,0.03392888110189866,0.2785963394829128
Tier 2,C16196,"Isomer 2 of 1,2-Dihydroxynaphthalene-6-sulfonic acid",0.9026666666666667,1.4846666666666666,0.6079928154467895,0.028183951040928076,0.2785963394829128
Tier 2,,2-Pyrazoline,0.4674333333333333,0.7835666666666667,0.5965457097885736,0.01681494034171373,0.26496890849491883
Tier 2,C11875,ent-7alpha-Hydroxykaur-16-en-19-oic acid,0.40070000000000006,0.6723333333333333,0.5959841348537432,0.037904804279949064,0.28491572613380783
Tier 2,C00990,5-Aminopentanamide,1.0483333333333331,1.7954,0.5838995952619656,0.025660616651041256,0.2785963394829128
Tier 2,,(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoic acid,0.4661666666666667,0.8220000000000001,0.5671127331711273,0.008610051163689646,0.19840972730011885
Tier 2,C06052,5-Pyridoxolactone,0.1300666666666667,0.24250000000000002,0.5363573883161512,0.025104657036893425,0.2785963394829128
Tier 2,,cis-4-Octenedioic acid,0.5846666666666667,1.091,0.5358997861289337,0.019840919400374635,0.2706425411957352
Tier 2,,3-Methoxy-5-Hydroxytoluene,0.6620333333333334,1.2621,0.5245490320365529,0.031499532452140405,0.2785963394829128
Tier 2,C02298,Indoxyl,0.9013333333333332,1.7413333333333334,0.5176110260336906,0.03533641590399028,0.28045826028682397
Tier 2,,L-glycyl-L-hydroxyproline,0.726,1.4626666666666666,0.4963536918869645,0.0037572582703203493,0.1366702695829027
Tier 2,,N4-Acetyl-Spermidine,0.9683333333333333,1.96,0.494047619047619,0.002138731734137517,0.12242513188352498
Tier 2,C00350,sn-Glycero-3-phosphoethanolamine,0.4186666666666667,0.8530000000000001,0.49081672528331377,0.009298912363344387,0.19840972730011885
Tier 2,,L-Tyrosine O-sulfate,0.5107666666666666,1.0656,0.479323073073073,0.00500195080058692,0.15907614831071187
Tier 2,,gamma-Glutamylalanine,0.25233333333333335,0.5273333333333333,0.4785082174462706,0.037965350229609035,0.28491572613380783
Tier 1,C01924,Homoarginine,0.8475666666666667,1.7910000000000001,0.4732365531360506,0.004802477503681769,0.15907614831071187
Tier 1,C00956,Aminoadipic acid,0.363,0.781,0.4647887323943662,0.0025521142337463216,0.12242513188352498
Tier 2,C20397,Pentalenolactone F,0.7994666666666667,1.7433333333333334,0.458585086042065,0.03260957444588633,0.2785963394829128
Tier 2,,Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide],1.8580333333333332,4.060066666666667,0.4576361636097929,0.04338511859150985,0.2885187002164693
Tier 2,C03943,"(2R,4S)-2,4-Diaminopentanoic acid",0.6053333333333333,1.3356666666666666,0.4532068879460943,0.02218484595475816,0.2785963394829128
Tier 2,,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinic acid",1.0276666666666667,2.2689999999999997,0.452916115763185,0.017723509448943776,0.26807948568466716
Tier 2,C02372,4-Hydroxyaniline,0.968,2.1533333333333338,0.44953560371517015,0.022875127580798016,0.2785963394829128
Tier 2,,Homoagmatine,1.0046666666666668,2.2413333333333334,0.4482450922070197,0.013890635121297847,0.2521441731478593
Tier 2,,Methylene-2-pyrrolidinecarboxylic acid,1.1199999999999999,2.532,0.44233807266982617,0.02942891575771945,0.2785963394829128
Tier 2,C00441,L-Aspartate 4-semialdehyde,0.09176666666666666,0.21223333333333336,0.4323857389665462,0.009580122712877524,0.19840972730011885
Tier 2,C00449,Saccharopine,0.8896666666666667,2.061,0.43166747533559763,0.002965554542606444,0.12242513188352498
Tier 2,C03884,L-Targinine,0.241,0.5630000000000001,0.42806394316163404,0.030306789526058107,0.2785963394829128
Tier 1,C05582,Vanillic Acid,0.446,1.0490000000000002,0.42516682554814106,0.041831838143787915,0.2885187002164693
Tier 1,C19615,Hexadecanedioic Acid,0.32336666666666675,0.761,0.4249233464739379,0.017810550022578118,0.26807948568466716
Tier 2,C03090,5-Phosphoribosylamine,0.4326666666666667,1.0199999999999998,0.4241830065359478,0.03066069523527964,0.2785963394829128
Tier 2,C03343,Monoethylhexyl phthalic acid,0.5326666666666667,1.276,0.41745036572622785,0.028827460269878195,0.2785963394829128
Tier 1,C01211,5-Hydroxylysine,0.2836666666666667,0.6837,0.4148993223148555,0.03551567610357813,0.28045826028682397
Tier 2,C00408,Isomer 1 of Pipecolic acid,0.6176666666666667,1.5103333333333335,0.40896049437210324,0.032784822780579786,0.2785963394829128
Tier 2,,Valyl-Hydroxyproline,0.8566666666666668,2.168,0.3951414514145142,0.007028143067177577,0.19792157734342014
Tier 1,C02226,Citraconic acid,0.49966666666666665,1.2926666666666666,0.38653945332645695,0.019220987554511036,0.2683287592212517
Tier 2,C05578,"5,6-Dihydroxyindole",1.008,2.6156666666666664,0.3853702051739519,0.026416664299809982,0.2785963394829128
Tier 1,C01015,Hydroxyproline,1.118,2.9090000000000003,0.38432451014094193,0.026237844130081813,0.2785963394829128
