Description,Degree,Connected Nodes
Biosynthesis of amino acids,10,"Glycine, serine and threonine metabolism, Lysine degradation, D-Amino acid metabolism, Lysine biosynthesis, Cysteine and methionine metabolism, Arginine and proline metabolism, beta-Alanine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis"
Arginine and proline metabolism,8,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, D-Amino acid metabolism, Lysine biosynthesis, Cysteine and methionine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis"
2-Oxocarboxylic acid metabolism,8,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Lysine degradation, D-Amino acid metabolism, Lysine biosynthesis, Cysteine and methionine metabolism, Arginine and proline metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis"
Lysine biosynthesis,7,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Lysine degradation, Cysteine and methionine metabolism, Arginine and proline metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, 2-Oxocarboxylic acid metabolism"
"Glycine, serine and threonine metabolism",6,"Biosynthesis of amino acids, Lysine biosynthesis, Cysteine and methionine metabolism, Arginine and proline metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, 2-Oxocarboxylic acid metabolism"
Cysteine and methionine metabolism,6,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Lysine biosynthesis, Arginine and proline metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, 2-Oxocarboxylic acid metabolism"
"Phenylalanine, tyrosine and tryptophan biosynthesis",6,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Lysine biosynthesis, Cysteine and methionine metabolism, Arginine and proline metabolism, 2-Oxocarboxylic acid metabolism"
D-Amino acid metabolism,5,"Biosynthesis of amino acids, Arginine and proline metabolism, beta-Alanine metabolism, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis"
Aminoacyl-tRNA biosynthesis,4,"Biosynthesis of amino acids, D-Amino acid metabolism, Arginine and proline metabolism, beta-Alanine metabolism"
Lysine degradation,3,"Biosynthesis of amino acids, Lysine biosynthesis, 2-Oxocarboxylic acid metabolism"
beta-Alanine metabolism,3,"Biosynthesis of amino acids, D-Amino acid metabolism, Aminoacyl-tRNA biosynthesis"
Autophagy - other,1,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1,Autophagy - other
Arachidonic acid metabolism,0,
Tyrosine metabolism,0,
