Identification Level,External Identifier,Compound,sFEnD2_mean,sFED2_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,C14828,"9,10-DHOME",2.345666666666667,0.06566666666666666,35.72081218274112,0.03886347945521239,0.2327960898059752
Tier 2,,"9,10-Epoxy-13-hydroxy-11-octadecenoic acid",0.523,0.018666666666666668,28.017857142857142,0.017511134657672033,0.18138019313628825
Tier 2,,Lysyl-Glutamic acid,1.2779999999999998,0.065,19.66153846153846,0.041370400907816546,0.243000898536204
Tier 1,HMDB0028832,Glutamyl-Valine,1.6280000000000001,0.1436666666666667,11.331786542923433,0.028249433546682454,0.20365458866408828
Tier 2,,Gly-Gly-Gly-Gly,2.0060000000000002,0.17733333333333334,11.312030075187971,0.019246162734538396,0.18482426118088457
Tier 2,,N-Acetyl-Dopamine,1.081,0.09666666666666666,11.182758620689656,0.026074014381407374,0.20140185605943253
Tier 1,HMDB0029071,Threoninyl-Threonine,2.3793333333333333,0.2286,10.408282298046078,0.04824440954718569,0.25656453897477155
Tier 2,C05954,Prostaglandin B2,0.9696666666666668,0.09366666666666668,10.352313167259787,0.01405189181743,0.17349784794990103
Tier 2,,7-Hydroxy-2-Oxindole-3-Acetate,1.83,0.18633333333333335,9.821109123434704,0.004808805597026576,0.1385393993429085
Tier 2,,gamma-L-Glutamyl-L-2-aminobutyric acid,2.0913333333333335,0.2194,9.532057125493772,0.018238804096223093,0.18138019313628825
Tier 2,,Isoleucyl-Hydroxyproline,3.3113333333333332,0.35266666666666663,9.389413988657846,0.008543021981891167,0.1694980972147853
Tier 2,C04785,13(S)-HPOT,0.5276666666666667,0.059000000000000004,8.943502824858758,0.00851826064892748,0.1694980972147853
Tier 1,HMDB0029056,Threoninyl-Asparagine,1.9576666666666664,0.22666666666666666,8.636764705882353,0.023873628286292647,0.20140185605943253
Tier 1,C00352,D-Glucosamine 6-phosphate,1.4913333333333334,0.1912,7.799860529986053,0.0005633961043656416,0.05713384092352416
Tier 2,,N-Acetyl-N-(L-Arginino)succinic acid,1.4146666666666665,0.18433333333333335,7.674502712477395,0.011710481857266967,0.1694980972147853
Tier 2,C21762,4-Hydroxytryptamine,2.021,0.32666666666666666,6.1867346938775505,0.026835550436003663,0.20140185605943253
Tier 2,,Isomer 1 of Glycyl-Lysine,1.6076666666666668,0.2602,6.178580579041763,0.047479270123929496,0.25656453897477155
Tier 2,,"9,10-Dihydroxystearic acid",3.119666666666667,0.5266666666666667,5.9234177215189865,0.03708598332530035,0.230200626751981
Tier 1,HMDB0028797,Glutaminyl-glycine,1.516333333333333,0.262,5.787531806615775,0.00412397161839028,0.1313159383750589
Tier 2,,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid",1.6353333333333333,0.28309999999999996,5.776521841516543,0.012582352968613417,0.1694980972147853
Tier 2,,N-Ribosylhistidine,2.711,0.48,5.647916666666666,0.013866460410411261,0.17349784794990103
Tier 1,,"2,4-Dihydroxybenzoic Acid",1.7666666666666666,0.33393333333333336,5.290477141145937,0.0007448099491205519,0.05713384092352416
Tier 2,C14516,Kojic acid,1.2766666666666666,0.24336666666666665,5.245856731954527,0.004092890240690796,0.1313159383750589
Tier 2,,7'-Carboxy-gamma-tocotrienol,0.5336666666666666,0.103,5.181229773462783,0.013615480829946944,0.17349784794990103
Tier 2,,N3-Acetyl-3'-Hydroxykynurenamine,1.4046666666666667,0.29233333333333333,4.805017103762828,0.0020601753650820336,0.08902900684818789
Tier 2,,"2-Hydroxy-2,4-pentadienoic acid",2.220666666666667,0.4633333333333333,4.792805755395684,0.011974556885845856,0.1694980972147853
Tier 1,HMDB0028959,Lysyl-Proline,0.5426666666666667,0.115,4.718840579710146,0.049266294969236665,0.25656453897477155
Tier 2,C09163,Pisiferic acid,0.9063333333333333,0.19399999999999998,4.671821305841925,0.000766814640589601,0.05713384092352416
Tier 2,C07289,Crepenynic acid,2.268666666666667,0.501,4.528276779773786,0.022794251765051707,0.19700746168366118
Tier 2,,"15H-11,12-EETA",2.201,0.49866666666666665,4.413770053475936,0.025025099990308854,0.20140185605943253
Tier 2,,Glycyl-Arginine,1.0633333333333332,0.243,4.3758573388203015,0.015247083977435266,0.18138019313628825
Tier 2,C21646,8-Amino-8-demethylriboflavin,0.662,0.15303333333333333,4.325854933565672,0.017019412858334786,0.18138019313628825
Tier 2,C04577,15-OxoETE,2.1123333333333334,0.48899999999999993,4.319700068166327,0.022110523319733427,0.19509737076729852
Tier 2,,(E)-3-(2-Hydroxyphenyl)-2-propenal,1.4226666666666665,0.331,4.2980866062437055,0.02975845645792601,0.20365458866408828
