Identification Level,External Identifier,Compound,sFEnD2_mean,sMEnD2_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,Hydantoin-5-propionic acid,2.4723333333333333,0.33666666666666667,7.343564356435643,0.022545635949701916,0.4930262653906513
Tier 1,,"6,7-Dihydroxycoumarin",4.342666666666667,0.7437666666666667,5.8387487115134675,0.009660095292059658,0.47745844732912796
Tier 2,C16673,Isomer 1 of Isoglutamine,2.2376666666666667,0.45766666666666667,4.889293517844137,0.021421776756785724,0.47745844732912796
Tier 2,,3-Oxoalanine,3.0033333333333334,0.6496666666666666,4.622883530015393,0.03199458765338613,0.501145692350612
Tier 2,,"3,7,4'-Trimethylquercetin 2'-O-beta-D-Glucoside",1.0976666666666668,0.23849999999999996,4.602375960866528,0.021141996470101683,0.47745844732912796
Tier 2,C15563,2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one,0.9550000000000001,0.23473333333333332,4.068446464072707,0.002071753984764429,0.35982143449377946
Tier 2,C05933,N(omega)-Hydroxyarginine,1.9236666666666666,0.5029333333333333,3.8248939554612935,0.005775731968163567,0.44360879024267
Tier 2,C02906,Myricetin,0.35733333333333334,0.0953,3.7495627841902763,0.009166696789274417,0.47745844732912796
Tier 2,C05679,N-Monomethyl-2-aminoethylphosphonate,0.6806666666666666,0.20403333333333332,3.336056199967326,0.04926174899616836,0.501145692350612
Tier 2,C16403,4-Amino-2-hydroxylamino-6-nitrotoluene,0.6983333333333334,0.21166666666666667,3.2992125984251968,0.015054975434657135,0.47745844732912796
Tier 1,C01839,o-Toluic acid,3.2776666666666667,1.0500666666666667,3.1213891181512285,0.014293361269706756,0.47745844732912796
Tier 2,,N-Acetyl-Farnesylcysteine,2.5913333333333335,0.8552666666666666,3.0298542364954404,0.045315037877078905,0.501145692350612
Tier 2,C02166,Leukotriene C4,1.07,0.35496666666666665,3.0143675462484745,0.004648040104422596,0.41811023357489746
Tier 2,,N-Acetyl-5-Aminolevulinic acid,1.0023333333333333,0.38566666666666666,2.598962834917891,0.019478600964189307,0.47745844732912796
Tier 1,C00483,Tyramine,0.521,0.20296666666666666,2.5669239612415833,0.022975710471222818,0.49312682289161563
Tier 1,C02499,2-Phenylphenol,1.0483333333333333,0.4216666666666667,2.486166007905138,0.01618759725492332,0.47745844732912796
Tier 2,C11854,Gibberellin A51-catabolite,2.337666666666667,0.9510000000000001,2.4581142656852437,0.03901491391150138,0.501145692350612
Tier 2,C05791,D-Urobilin,0.5366666666666666,0.2195666666666667,2.444208289054197,0.002162509891769049,0.35982143449377946
Tier 2,,Coniferyl acetic acid,0.6556666666666666,0.27786666666666665,2.359644913627639,0.03020412098376386,0.501145692350612
Tier 2,C03590,4-Hydroxyphenylglyoxylic acid,0.785,0.3391,2.3149513417870833,0.049486045408392174,0.501145692350612
Tier 1,C00149,Malic Acid,1.2313333333333334,0.5392333333333333,2.2834889039995057,0.04566872676278424,0.501145692350612
Tier 1,C00417,cis-Aconitic acid,1.2446666666666666,0.5611,2.218261747757381,0.006124021263056704,0.44360879024267
Tier 1,C00956,Aminoadipic acid,2.3106666666666666,1.0603333333333333,2.179188934297391,0.03987398803714047,0.501145692350612
Tier 2,,N-Formimino-L-aspartic acid,0.6413333333333333,0.2992333333333333,2.1432549849615685,0.01609304524345361,0.47745844732912796
Tier 2,,N-Formimino-L-glutamic acid,2.4410000000000003,1.1563333333333334,2.110982992216777,0.02741296116522126,0.501145692350612
Tier 2,C09826,Pinobanksin,0.8136666666666666,0.3915,2.078331204767986,0.04801235667635781,0.501145692350612
Tier 2,,"N-Acetyl-4-(2-Aminophenyl)-2,4-dioxobutanoic acid",1.235,0.6076666666666667,2.032364234777839,0.013614108725988195,0.47745844732912796
Tier 2,,"N,N-Dihydroxy-L-valine",0.9353333333333333,0.4626666666666666,2.021613832853026,0.0069420023278799715,0.47328121753016983
Tier 2,C20921,N1-Acetyl-tabtoxinine-beta-lactam,2.4936666666666665,1.2506666666666666,1.993869936034115,0.048300036310580385,0.501145692350612
Tier 2,,(+)-Gallocatechin/(-)-Epigallocatechin,2.078,1.081,1.9222941720629045,0.02091661803147201,0.47745844732912796
Tier 2,C16405,Homoeriodictyol chalcone,1.082,0.5756666666666667,1.8795599305153448,0.03692462241824799,0.501145692350612
Tier 2,C00127,Glutathione disulfide,2.0540000000000003,1.1016666666666668,1.864447806354009,0.024280555019350926,0.501145692350612
Tier 2,C12136,(-)-Epigallocatechin,2.0540000000000003,1.1066666666666667,1.8560240963855423,0.024784859360381016,0.501145692350612
Tier 2,,Isomer 1 of Prolyl-Tyrosine,1.1206666666666667,0.6206666666666666,1.8055853920515577,0.02127403834903625,0.47745844732912796
Tier 2,,gamma-Glutamyl-Threonine,1.7286666666666666,0.9593333333333334,1.8019457956914522,0.015333824093093619,0.47745844732912796
Tier 2,C17951,N-Acetylphosphinothricin,1.0608666666666668,0.5936,1.787174303683738,0.04273150964043091,0.501145692350612
Tier 2,C03290,L-Threo-3-Phenylserine,0.759,0.4281,1.772950245269797,0.019432925389004527,0.47745844732912796
Tier 2,C01234,1-Aminocyclopropane-1-carboxylic acid,2.336,1.3533333333333335,1.726108374384236,0.03715888048601942,0.501145692350612
Tier 1,HMDB0013292,p-Methylhippuric acid,0.9116666666666666,0.5313333333333333,1.7158092848180677,0.04164591702638205,0.501145692350612
Tier 2,,(S)-2-Azetidinecarboxylic acid,2.1140000000000003,1.3023333333333333,1.623240337855132,0.018646409692510923,0.47745844732912796
Tier 2,,"N-Acetyl-6-Lactoyl-5,6,7,8-tetrahydropterin",1.8213333333333335,1.1380000000000001,1.6004686584651435,0.04673973733637349,0.501145692350612
Tier 1,HMDB0028941,Leucyl-Tyrosine,0.8653333333333334,0.5426666666666667,1.5945945945945945,0.02510235635275085,0.501145692350612
Tier 2,C04454,5-Amino-6-(5'-phospho-D-ribitylamino)uracil,4.367333333333334,2.7626666666666666,1.5808397683397686,0.0008107832168504678,0.35982143449377946
Tier 2,C02926,L-3-Aminodihydro-2(3H)-furanone,1.609333333333333,1.039,1.5489252486365093,0.0454053019417344,0.501145692350612
Tier 2,C20310,N-Hydroxy-L-isoleucine,0.9363333333333332,0.6173333333333334,1.5167386609071272,0.04054164869347058,0.501145692350612
Tier 2,C01029,N8-Acetyl-spermidine,1.6783333333333335,1.1066666666666667,1.516566265060241,0.025692462143001905,0.501145692350612
Tier 2,,Harderoporphyrinogen,0.6846666666666666,0.4546666666666666,1.5058651026392964,0.037260001204374824,0.501145692350612
Tier 2,C00493,Shikimic acid,1.117333333333333,1.7683333333333333,0.6318567389255418,0.017473220493346774,0.47745844732912796
Tier 2,,4-Hydroxy-5-Methyl-2-Methylene-3(2H)-Furanone,0.8023333333333333,1.2733333333333332,0.6301047120418849,0.030533048517786886,0.501145692350612
Tier 2,C04122,D-1-Aminopropan-2-ol O-phosphate,2.2176666666666667,3.5843333333333334,0.618711057379336,0.03235495156486607,0.501145692350612
Tier 2,C20248,7-Carboxy-7-carbaguanine,0.596,0.9646666666666667,0.61782999308915,0.040860693142520214,0.501145692350612
Tier 2,C04092,Delta1-Piperideine-2-carboxylic acid,0.7046666666666667,1.1493333333333335,0.6131090487238978,0.0304726357787803,0.501145692350612
Tier 2,C03564,1-Pyrroline-2-carboxylic acid,0.47833333333333333,0.79,0.6054852320675105,0.01789519805627738,0.47745844732912796
Tier 1,C16308,Traumatic acid,1.4969999999999999,2.4819999999999998,0.6031426269137792,0.024035425694946037,0.501145692350612
Tier 1,C00352,D-Glucosamine 6-phosphate,1.4913333333333334,2.522,0.5913296325667461,0.003104585284674542,0.35982143449377946
