Identification Level,External Identifier,Compound,sMEnD1_mean,sMED1_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,C14828,"9,10-DHOME",1.1620000000000001,0.022500000000000003,51.644444444444446,0.005159054120985608,0.04876918348744208
Tier 2,C20781,"2,4-Diketo-3-deoxy-L-fuconic acid",11.702666666666667,0.26,45.01025641025641,0.006366752453670677,0.05195868734521972
Tier 2,C16320,Colnelenic acid,3.1649999999999996,0.12966666666666668,24.408740359897166,0.008864476698274245,0.05783076351534937
Tier 1,HMDB0029044,Seryl-Lysine,0.693,0.032,21.656249999999996,0.010975526838978062,0.06264333714699742
Tier 2,C14765,13-OxoODE,3.831666666666667,0.18300000000000002,20.93806921675774,0.01262170106370761,0.07005623067470737
Tier 2,C14766,9-OxoODE,3.9113333333333333,0.19000000000000003,20.585964912280698,0.0007723908914135081,0.02026159790223313
Tier 2,,Lysyl-Glutamic acid,0.707,0.035333333333333335,20.00943396226415,0.0010685591153614762,0.021859656450532804
Tier 2,,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid",2.0240000000000005,0.102,19.843137254901965,0.007219607980683658,0.05245720786284185
Tier 2,C07289,Crepenynic acid,4.486666666666666,0.2416666666666667,18.565517241379307,0.007042334483153746,0.05195868734521972
Tier 2,C04577,15-OxoETE,4.190333333333333,0.249,16.82864792503347,0.006542066658088109,0.05195868734521972
Tier 2,,Valyl-gamma-Glutamic acid,1.53,0.09263333333333335,16.516732637639436,0.01659775540382935,0.0824616904643546
Tier 2,,20-COOH-leukotriene E4,2.75,0.17166666666666666,16.019417475728154,0.0474336417331903,0.12821424185571784
Tier 2,,N-Acetyl-Dopamine,0.7061000000000001,0.04593333333333333,15.372278664731496,0.018217752592605354,0.08678535683878928
Tier 1,C00002,Adenosine,1.585,0.11,14.409090909090908,0.003956336516681705,0.04311874200053979
Tier 2,C06469,Neuraminic acid,1.5330000000000001,0.10833333333333334,14.150769230769232,0.0006753670374889565,0.01945700274670565
Tier 1,C00047,Lysine,0.5756666666666667,0.04133333333333334,13.927419354838706,0.002783096328590863,0.03436271997545862
Tier 1,C06427,alpha-Linolenic acid,4.494,0.3333333333333333,13.482,0.013095885940275479,0.07089906435122027
Tier 2,C16311,12-Oxo-9(Z)-dodecenoic acid,1.4429999999999998,0.10826666666666666,13.328201970443349,0.0012232120168287769,0.021859656450532804
Tier 1,HMDB0028846,Glycyl-Lysine,0.5409999999999999,0.04133333333333333,13.088709677419352,0.005869103249391405,0.049887280580032216
Tier 2,,"9,10-Dihydroxystearic acid",1.4416666666666667,0.12843333333333332,11.225019465351675,0.014546845135824693,0.07522086587328153
Tier 1,HMDB0029064,Threoninyl-Isoleucine,0.38433333333333336,0.0359,10.705663881151347,0.04908813478045317,0.1287514563571791
Tier 1,HMDB0028925,Leucyl-Aspartic acid,0.9383333333333334,0.08900000000000001,10.543071161048688,0.005892178430077924,0.049887280580032216
Tier 1,HMDB0028959,Lysyl-Proline,0.27366666666666667,0.02766666666666667,9.89156626506024,0.029100201779579785,0.10029265208617456
Tier 2,C04076,L-Allysine,1.7053333333333331,0.17266666666666666,9.876447876447875,0.031451912261654724,0.10448490026591224
Tier 2,,N-Acetyl-N-(L-Arginino)succinic acid,1.3840000000000001,0.15073333333333336,9.181777974347632,0.006357777290224941,0.05195868734521972
Tier 2,C00350,sn-Glycero-3-phosphoethanolamine,3.297333333333333,0.35933333333333334,9.17625231910946,0.02327159398786135,0.09432868519317221
Tier 1,HMDB0029140,Valyl-Valine,0.48966666666666664,0.055766666666666666,8.780633592349073,0.009367627809097914,0.05783076351534937
Tier 2,C16346,17-Hydroxylinolenic acid,1.6996666666666667,0.19706666666666664,8.624830852503385,0.04184516211447968,0.11830057513672995
Tier 1,HMDB0028695,Alanyl-Proline,0.677,0.08033333333333333,8.427385892116185,0.03811632036122273,0.11274942065597067
Tier 2,,N-Formyl-L-glutamic acid,3.6523333333333334,0.44799999999999995,8.152529761904763,4.984468363829703e-05,0.008465022783098351
Tier 2,C07354,"Isomer 1 of (7S,8S)-DiHODE",2.5273333333333334,0.3167333333333333,7.97937276362871,0.0025111342239270695,0.033026874032084284
Tier 2,,2-Methyleneglutaric acid,3.924666666666667,0.5241333333333333,7.487916560671585,0.007420256640455296,0.05245720786284185
Tier 2,C00493,Shikimic acid,2.2163333333333335,0.3016666666666667,7.34696132596685,0.0001707392130210167,0.012952587061137744
Tier 2,C03296,N2-Succinyl-L-arginine,1.13,0.15533333333333332,7.274678111587983,0.0009441287211085399,0.02115547689891358
Tier 2,C05714,alpha-Aminopropiononitrile,1.9533333333333334,0.26886666666666664,7.265063228365982,2.3044556522484826e-05,0.008465022783098351
Tier 1,C00122,Fumaric Acid,0.6569999999999999,0.09366666666666668,7.0142348754448385,0.004429954768654991,0.04530342969665484
Tier 2,C17513,beta-D-Glucosyl crocetin,1.0799333333333332,0.15773333333333336,6.846576500422652,0.0045074327459438965,0.04530342969665484
Tier 2,,gamma-Carboxyglutamic acid,1.1023333333333332,0.16173333333333334,6.815746084089034,0.0014695652023290968,0.022896548039604798
Tier 1,HMDB0028951,Lysyl-Glycine,0.5419999999999999,0.08066666666666666,6.7190082644628095,0.020520309393746463,0.08941824112723087
Tier 2,,O-Aminobenzaldehyde,0.7936666666666667,0.11973333333333334,6.628619153674833,0.0015036420102879414,0.022896548039604798
Tier 2,,Gly-Gly-Gly-Gly,1.2750000000000001,0.19613333333333335,6.500679809653297,0.006641161111184044,0.05195868734521972
Tier 1,,D-Glyceric acid,2.177333333333333,0.3376666666666667,6.448173741362288,0.021477829151450422,0.09086773871767487
Tier 2,,2-(Acetamidomethylene)succinic acid,0.5630000000000001,0.09043333333333332,6.225580538149651,0.005626510665888649,0.049887280580032216
Tier 2,C16309,Traumatin,3.250666666666667,0.5276666666666667,6.160454832596336,0.036638809407353014,0.11138934518315866
Tier 1,C00035,Guanosine,2.4303333333333335,0.39533333333333337,6.147554806070826,0.004525232050266773,0.04530342969665484
Tier 2,,(+)-Gallocatechin/(-)-Epigallocatechin,2.325333333333333,0.381,6.103237095363078,0.03021347385142095,0.10211816581066857
Tier 2,,Hydroxyprolyl-Hydroxyproline,0.8006666666666667,0.13133333333333333,6.096446700507615,0.0019509386375633133,0.028102806564900107
Tier 2,,Dehydroisocoproporphyrinogen,0.789,0.13066666666666665,6.03826530612245,0.018842268854464356,0.08768902043808412
Tier 2,C02220,2-Aminomuconic acid,2.717,0.4584333333333333,5.926706900312659,0.02184263655165184,0.09113651802585768
Tier 2,C04742,5(S)-HETE,1.5606666666666669,0.26443333333333335,5.90192865246439,0.0010314252429796192,0.021859656450532804
Tier 2,,"15H-11,12-EETA",1.21,0.206,5.873786407766991,0.029914211733672265,0.10167470842062765
Tier 2,,"15-Deoxy-Delta12,14-PGJ2",2.6153333333333335,0.4506666666666667,5.803254437869822,0.00041127470609868803,0.01945700274670565
Tier 1,,N-Acetyl-Homoserine,1.8223333333333336,0.3163333333333333,5.760800842992626,0.011999315824116013,0.06721838957027952
Tier 2,C15699,gamma-L-Glutamylputrescine,0.328,0.057666666666666665,5.687861271676301,0.00016489642910305478,0.012952587061137744
Tier 2,,"3,4-Dihydroxyphenylacetaldehyde 4-O-glucuronide",2.327,0.4116666666666666,5.652631578947369,0.007020798701023491,0.05195868734521972
Tier 1,HMDB0028692,Alanyl-Lysine,0.292,0.05333333333333334,5.475,0.00020437940713257725,0.013735976489356977
Tier 1,HMDB0028944,Lysyl-Alanine,0.2896666666666667,0.053,5.465408805031447,0.00045130343720448536,0.01945700274670565
Tier 2,C22137,Isomer 5 of 4-Chloro-L-lysine,2.263666666666667,0.423,5.351457840819544,0.0009066251904943581,0.021096470778811025
Tier 1,C00157,Ethanolamine,0.988,0.18499999999999997,5.340540540540541,0.0008037658671960251,0.02026159790223313
Tier 2,C04895,Dihydroneopterin phosphate,2.0573333333333337,0.38633333333333336,5.3252804141501295,0.029176044243250782,0.10029265208617456
Tier 2,,Glycyl-Arginine,0.701,0.1321,5.306585919757759,0.03528488698449133,0.11038758486344503
Tier 2,,"4,5-Dioxopentanoic acid",6.358666666666667,1.2043333333333333,5.279822861887629,0.0006357467549645028,0.01945700274670565
Tier 1,C00486,Bilirubin,1.3536666666666666,0.258,5.246770025839793,0.005633988834513437,0.049887280580032216
Tier 2,,N-Acetyl-Tetrahydrobiopterin,0.9129999999999999,0.17626666666666668,5.179652042360059,3.682485906719276e-05,0.008465022783098351
Tier 1,HMDB0028828,Glutamyl-Serine/Seryl-Glutamic acid,1.0266666666666666,0.2061666666666667,4.979789814066288,0.010806831866055194,0.062267935990127546
Tier 2,C19616,18-Hydroxyoleic acid,1.4326666666666668,0.288,4.974537037037038,0.0005610923941217405,0.01945700274670565
Tier 1,HMDB0029071,Threoninyl-Threonine,1.219,0.2477,4.9212757367783615,0.0005078759476124586,0.01945700274670565
Tier 2,,"3,4-Dihydroxyphenylethyleneglycol 4-O-glucuronide",2.0476666666666667,0.4246666666666667,4.82182103610675,0.0008589859165683097,0.020787459180953094
Tier 2,,gamma-L-Glutamyl-L-2-aminobutyric acid,1.203,0.2524,4.766244057052298,0.0013410620407268673,0.022537292628882075
Tier 1,C00232,Succinic Semialdehyde,0.7182666666666666,0.151,4.756732891832229,0.04163817549751868,0.11826805716431361
Tier 1,C00018,Pyridoxal,1.8949999999999998,0.4036666666666667,4.694467382328654,0.001228476560856389,0.021859656450532804
Tier 2,,"3,4-Dihydroxyphenylethyleneglycol 3-O-glucuronide",1.6703333333333334,0.35966666666666663,4.6441149212233555,0.006705937605478055,0.05195868734521972
Tier 2,,"2,3-Dihydroxyindole",2.815,0.6096666666666667,4.617277200656096,0.003991156284347485,0.04311874200053979
Tier 2,,"Quercetin 3-O-(6""-O-Feruloyl)-Glucoside",2.7069999999999994,0.5933333333333334,4.562359550561796,0.026929042349831307,0.0969766108431425
Tier 2,C00168,Hydroxypyruvic acid,1.388,0.30866666666666664,4.496760259179266,0.037235367768696986,0.11220559944834825
Tier 2,C05949,12-Keto-leukotriene B4,1.3903333333333334,0.31150000000000005,4.463349384697699,0.02424209992831327,0.09518644175799038
Tier 1,C00082,Tyrosine,0.5383333333333334,0.121,4.449035812672177,0.0030659439920704664,0.035671079138512155
Tier 2,,beta-Alanyl-Lysine,0.22833333333333336,0.05153333333333333,4.430789133247091,0.007456727068106446,0.05245720786284185
Tier 2,C03618,L-threo-3-Methylaspartic acid,0.807,0.18366666666666667,4.393829401088929,0.002922994563353945,0.035368234216582736
Tier 2,C22140,L-beta-Ethynylserine,2.2983333333333333,0.5303333333333333,4.333752357008171,0.04961196856971567,0.1287514563571791
Tier 2,,4-Hydroxypiperidine,0.781,0.18033333333333335,4.33086876155268,0.0006223613103953527,0.01945700274670565
Tier 1,,Prolyl-Isoleucine,0.598,0.13956666666666664,4.284690709338429,0.049898458578690255,0.1287514563571791
Tier 2,C05958,Delta-12-Prostaglandin J2,1.6446666666666665,0.3864,4.256383712905452,0.048138938325117,0.12829981359777878
Tier 2,,Isomer 1 of Norfuraneol,3.510333333333333,0.834,4.209032773780975,0.0339750601271912,0.10933463498378021
Tier 1,C01595,Linoleic Acid,1.1867666666666665,0.283,4.1935217903415785,0.03745922676698304,0.11220559944834825
Tier 2,,"12,13-Epoxy-9-hydroxy-10-octadecenoic acid",0.21643333333333334,0.05196666666666667,4.1648492623476585,0.008062079491201038,0.05542679650200714
Tier 2,C02165,Leukotriene B4,0.5437333333333333,0.13076666666666667,4.158042314555187,0.011110599407332658,0.0628216134713669
Tier 1,C08491,(-)-Jasmonic acid,0.31966666666666665,0.07933333333333334,4.029411764705882,0.02562097173722768,0.09518644175799038
Tier 2,,Homoagmatine,3.0843333333333334,0.7716666666666666,3.9969762419006485,0.00017127387849438338,0.012952587061137744
Tier 2,,Isomer 1 of Prolyl-Glutamine,1.0533333333333335,0.26599999999999996,3.9598997493734345,0.0017402691364978937,0.025679581160517703
Tier 2,C16344,Heptadecatrienoic acid,1.5413333333333334,0.3953333333333333,3.898819561551434,0.0032389533082850274,0.03697295757570644
Tier 1,HMDB0028955,Lysyl-Leucine/Leucyl-Lysine,0.16,0.041666666666666664,3.8400000000000003,0.024944725030717485,0.09518644175799038
Tier 1,C00106,Uracil,0.9406666666666667,0.246,3.823848238482385,0.014698993694144706,0.0753634846182843
Tier 2,C12455,5-Aminopentanal,0.7919999999999999,0.20846666666666666,3.7991685321394306,0.0002270409337083798,0.013735976489356977
Tier 2,C22137,Isomer 4 of 4-Chloro-L-lysine,2.3216666666666668,0.6133333333333333,3.7853260869565224,0.0006574752903877331,0.01945700274670565
Tier 1,HMDB0028851,Glycyl-Threonine,0.8693333333333334,0.23426666666666665,3.710870802504269,0.001172838597744592,0.021859656450532804
Tier 1,,Pimelic acid/3-Methyladipic Acid,3.697333333333333,0.9996666666666667,3.698566188729576,0.008162868095703548,0.05548915952697356
Tier 2,,1-O-4-Hydroxybenzoyl-beta-D-Glucose,2.800666666666667,0.7653333333333333,3.659407665505227,6.213429558113576e-05,0.008465022783098351
Tier 2,,(E)-3-(2-Hydroxyphenyl)-2-propenal,0.7646666666666667,0.2113666666666667,3.6177259107396305,0.046150465602699135,0.12691378040742263
Tier 2,,"2',4',6'-Trihydroxyacetophenone",0.6013333333333334,0.16633333333333333,3.615230460921844,0.013200643410996409,0.07089906435122027
Tier 2,,3-Phenylpropionylglycine,0.25366666666666665,0.07026666666666666,3.610056925996205,0.01768800432940025,0.08630034370392864
Tier 1,C00431,5-Aminopentanoic acid,1.2216666666666667,0.33866666666666667,3.607283464566929,6.995886597601943e-05,0.008465022783098351
Tier 2,C21762,4-Hydroxytryptamine,0.9116666666666666,0.2529,3.6048504020034264,0.0005795169621522608,0.01945700274670565
Tier 2,,"1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one",2.4276666666666666,0.7136666666666667,3.4016814572629612,0.0006167985590050207,0.01945700274670565
Tier 2,,Leucyl-Glutamic acid,0.484,0.1443333333333333,3.353348729792148,0.04025337992779657,0.11637553672468062
Tier 2,C00219,Arachidonic acid,1.484,0.44480000000000003,3.3363309352517985,0.0015138213579904,0.022896548039604798
Tier 2,C05636,3-Hydroxykynurenamine,0.432,0.13033333333333333,3.3145780051150897,0.007013682335320476,0.05195868734521972
Tier 2,,N-Acetyl-Dehydroalanine,1.5603333333333333,0.4723333333333333,3.3034580098800284,0.03420586259969947,0.10949495699903798
Tier 2,C17242,S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine,0.7823333333333333,0.2369,3.3023779372449695,0.03764266727737102,0.11220559944834825
Tier 2,C01877,4-Oxoproline,1.6786666666666665,0.5163333333333333,3.251129761136217,0.008419540301928196,0.05659802091851732
Tier 2,C22138,L-Propargylglycine,1.5579999999999998,0.48599999999999993,3.205761316872428,0.019568160740264597,0.08871913148327318
Tier 2,,gamma-Glutamylalanine,0.8153333333333332,0.25499999999999995,3.197385620915033,0.03236970004552641,0.10585766771645123
Tier 2,C00624,N-Acetyl-L-glutamic acid,1.9829999999999999,0.6356666666666667,3.1195595175668585,0.021794064138688715,0.09113651802585768
Tier 2,C05786,(3Z)-Phycocyanobilin,1.056,0.339,3.1150442477876106,0.019163823700890703,0.08783419196241572
Tier 2,,Glutamyl-Proline,1.0542,0.3432333333333333,3.0713800135961935,0.036029511178007866,0.11064900640961807
Tier 2,C03090,5-Phosphoribosylamine,2.818,0.9270333333333333,3.0398043939448423,0.0026922195882161117,0.033933184393140574
Tier 2,,Isovanillic acid,0.5766666666666667,0.19000000000000003,3.0350877192982453,0.021293011818641162,0.09072022641040778
Tier 2,,Hydroxyprolyl-Valine,0.39299999999999996,0.12966666666666665,3.030848329048843,0.009877353643545111,0.05981881656494431
Tier 2,,2-Hydroxyethylenedicarboxylic acid,6.239333333333334,2.0896666666666666,2.9858031583984688,0.0185142260061592,0.08729078946639544
Tier 1,HMDB0028818,Glutamyl-Glutamic acid,1.2713333333333334,0.43356666666666666,2.9322672407165373,0.024366163381107607,0.09518644175799038
Tier 2,,Isomer 2 of Vinylacetylglycine,1.0123333333333333,0.3486666666666667,2.9034416826003824,0.02914995565425368,0.10029265208617456
Tier 2,C22137,Isomer 2 of 4-Chloro-L-lysine,1.0593333333333332,0.367,2.886466848319709,0.007935865027623855,0.055186187835775086
Tier 2,C15996,7-Cyano-7-carbaguanine,1.758,0.6116666666666667,2.8741144414168938,0.02311739149895086,0.09432868519317221
Tier 2,C00647,Pyridoxamine phosphate,1.0166666666666666,0.359,2.8319405756731664,0.03576192831939707,0.11038758486344503
Tier 1,HMDB0028765,Aspartyl-Tyrosine,0.7643333333333334,0.27166666666666667,2.8134969325153376,0.043429261623989704,0.12108158194706807
Tier 1,C00352,D-Glucosamine 6-phosphate,3.2663333333333333,1.1717,2.7876874057637053,0.019735416840048287,0.08871913148327318
Tier 1,C02265,D-phenylalanine,0.4076666666666666,0.14733333333333334,2.7669683257918547,0.023677837380758945,0.09486815639310703
Tier 2,,1-(Malonylamino)cyclopropanecarboxylic acid,1.9846666666666666,0.7176666666666667,2.7654435671156525,0.0393451342759757,0.11454354212171527
Tier 2,,Myricetin 3-O-Gentiobioside,2.750666666666667,0.9960333333333334,2.761621097018172,0.024461144932740004,0.09518644175799038
