Identification Level,External Identifier,Compound,sMEnD4_mean,sMED4_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,C05627,4-Hydroxystyrene,1.7966666666666666,0.0113,158.99705014749264,0.006883680848249921,0.09449051971259086
Tier 2,C16701,Norbelladine,1.3323333333333334,0.0631,21.114632857897515,0.022716643100262814,0.14628375474637753
Tier 1,C01595,Linoleic Acid,0.6619333333333333,0.037166666666666674,17.809865470852014,0.004493026270034451,0.09060936311236142
Tier 2,C00134,Isomer 1 of Putrescine,0.6113333333333333,0.037733333333333334,16.201413427561835,1.4770334797863872e-05,0.008936052552707643
Tier 2,,"Cyanidin 3-O-(6""-O-Malyl-beta-D-Glucoside)",2.4730000000000003,0.3511666666666667,7.0422401518747035,0.02038584954762358,0.14341208111991005
Tier 2,C16432,5-Hydroxyectoine,2.7863333333333333,0.39893333333333336,6.9844585561497325,0.046218258677822664,0.20410252919768404
Tier 2,C06052,5-Pyridoxolactone,1.9136666666666666,0.3251,5.886393930072798,0.006702705760426491,0.09449051971259086
Tier 2,,N-Carboxyethyl-g-aminobutyric acid,1.7196666666666667,0.299,5.75139353400223,0.011328578321736867,0.10413949652882004
Tier 2,,N-Acetyl-2-Aminomuconate semialdehyde,2.3526666666666665,0.42113333333333336,5.586512585087857,0.0018442789740863881,0.06573926918990933
Tier 2,C00974,Kaempferol,1.5463333333333333,0.2893666666666667,5.343854394654993,0.01013836414652962,0.10396119167204103
Tier 2,,A-Ketoglutaric acid oxime,2.7246666666666672,0.5226666666666667,5.213010204081633,0.020080430835267685,0.14341208111991005
Tier 2,C05568,Imidazole lactic acid,2.579,0.5025000000000001,5.132338308457711,0.010798528471862448,0.10413949652882004
Tier 2,,"2,3-Dihydroxyindole",0.25586666666666663,0.049966666666666666,5.120747164776517,0.04685020320450382,0.20454712820236212
Tier 2,,2-Oxo-4-hydroxy-5-aminovaleric acid,3.1360000000000006,0.6389333333333332,4.908180300500836,0.011198189124152933,0.10413949652882004
Tier 1,C00055,Cytidine,2.021,0.4195,4.817640047675805,0.04088530296852505,0.1947685692595091
Tier 2,,4-Methylene-L-glutamic acid,1.3326666666666667,0.28626666666666667,4.655333022822543,0.013532901919689132,0.11865805306394095
Tier 2,,Hydroxyprolyl-Valine,1.0833333333333333,0.24366666666666667,4.4459644322845415,0.02985322985159293,0.16846327121453158
Tier 2,C01092,8-Amino-7-oxononanoic acid,1.085,0.24406666666666665,4.445506692160612,0.006970303492256898,0.09449051971259086
Tier 2,C00940,2-Oxoglutaramic acid,1.0313333333333334,0.2351,4.386785764922728,0.0009843300238817944,0.06573926918990933
Tier 1,C01596,Maleamic acid,1.4476666666666667,0.3333,4.343434343434343,0.000476885434159078,0.048085947944373694
Tier 1,C00835,Sepiapterin,0.9786666666666667,0.23163333333333333,4.225068355159016,0.011301725822595409,0.10413949652882004
Tier 2,,L-erythro-4-Hydroxyglutamic acid,1.9809999999999999,0.47800000000000004,4.144351464435146,0.04699512532252617,0.20454712820236212
Tier 2,C05954,Prostaglandin B2,0.38610000000000005,0.09526666666666667,4.052834149755074,0.005262385089716064,0.09313890992683846
Tier 1,C00141,Valine,1.0933333333333335,0.2843333333333333,3.84525205158265,0.0016359330142893284,0.06573926918990933
Tier 1,,4-Chloroindole-3-acetic acid,2.202666666666667,0.5730666666666667,3.8436482084690557,0.0378147594217588,0.18752401188659076
Tier 2,C02700,N-formylkynurenine,0.8876666666666666,0.242,3.668044077134986,0.008886482512272734,0.09846310201598056
Tier 1,HMDB0029027,Prolyl-Threonine,2.384,0.6763333333333333,3.524889107934943,0.03512177703536282,0.17974243963962622
Tier 2,,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",1.0053333333333334,0.28633333333333333,3.511059371362049,0.03910505611356609,0.19040629505395035
Tier 2,,Neohesperidin dihydrochalcone,1.836,0.5463333333333332,3.3605857230018312,0.021822444553019894,0.14628375474637753
Tier 2,,Vinylacetylglycine,2.1786666666666665,0.6960000000000001,3.130268199233716,8.52835299685214e-05,0.02228240396417169
Tier 2,,"(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid",1.287,0.4126,3.119243819680077,0.03062968567536938,0.16846327121453158
Tier 2,,N2'-Acetyl-3'-Hydroxykynurenamine,1.9093333333333333,0.6133333333333333,3.11304347826087,0.022331653804553892,0.14628375474637753
Tier 2,C12115,3-Amino-4-hydroxybenzoic acid,1.3326666666666667,0.42900000000000005,3.106449106449106,0.010670140052641634,0.10413949652882004
Tier 1,C03401,"2,3-Diaminoproprionic acid",2.1023333333333336,0.6926666666666668,3.0351299326275263,0.022973345991870876,0.14628375474637753
Tier 2,,4-Oxoglutaramic acid,1.934,0.6453333333333334,2.9969008264462804,0.01136067234859855,0.10413949652882004
Tier 2,,1-Pyrroline-5-carboxylic acid,1.7746666666666666,0.5978,2.9686628749860597,0.003924649631773878,0.08480046525797129
Tier 1,C01205,3-Aminoisobutyric acid,0.8936666666666667,0.319,2.801462904911181,0.006003995846523471,0.09313890992683846
Tier 2,C00072,Isomer 1 of Ascorbic acid,0.5486666666666666,0.19899999999999998,2.7571189279731994,0.025858686187300535,0.15503174831344482
Tier 1,,N-Acetyl-Glycine,3.08,1.1273333333333333,2.7321111768184507,0.030211865708101894,0.16846327121453158
