Identification Level,External Identifier,Compound,sMEnD3_mean,sMEnD2_mean,Fold_Change,P_Value,FDR_P_Value
Tier 1,,4-Chloroindole-3-acetic acid,1.1443333333333332,0.08126666666666667,14.081214109926167,0.034684945855999155,0.12641462970787112
Tier 2,,Molybdopterin precursor Z,0.9359999999999999,0.07666666666666667,12.208695652173912,0.04096725884384966,0.14048554677759614
Tier 2,C01888,Aminoacetone,1.5650000000000002,0.15153333333333333,10.327760668719755,0.029177732455256022,0.11347983864309305
Tier 2,C05679,N-Monomethyl-2-aminoethylphosphonate,2.0553333333333335,0.20403333333333332,10.073517399117792,0.040815563855197794,0.14048554677759614
Tier 2,C15563,2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one,2.355,0.23473333333333332,10.03266117580233,0.021249511446926425,0.09864235136805972
Tier 2,C02906,Myricetin,0.8746666666666666,0.0953,9.178034277719481,0.023423058880963483,0.1025151577838252
Tier 1,HMDB0029010,Prolyl-Alanine,2.1016666666666666,0.22966666666666669,9.150943396226413,0.030696720459765507,0.11703124675285599
Tier 2,,Seryl-Glycine,0.975,0.11399999999999999,8.552631578947368,0.02518369916679792,0.10504271483005267
Tier 2,C04397,3-Hydroxy-L-proline,2.3396666666666666,0.30666666666666664,7.629347826086957,0.019736922481748277,0.09408867399579873
Tier 2,,"N(alpha)-Acetyl-L-2,4-diaminobutyric acid",1.7586666666666666,0.24066666666666667,7.307479224376731,0.02739460713155468,0.11132367067572792
Tier 2,,N-Acetyl-(S)-2-Aminobutanoic acid,2.148,0.3303333333333333,6.502522704339052,4.231364462761738e-06,0.0007005930589058364
Tier 2,,3-Hydroxy-4-aminopyridine,1.1026666666666667,0.17366666666666666,6.34932821497121,0.017477134253986427,0.08962831239101889
Tier 2,,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,2.4643333333333333,0.40166666666666667,6.135269709543568,0.006990522664874695,0.0488073239071673
Tier 2,C02166,Leukotriene C4,2.1493333333333333,0.35496666666666665,6.055028641186966,0.0032284427052120144,0.0301755249624252
Tier 2,C03508,L-2-Amino-3-oxobutanoic acid,1.5946666666666667,0.26866666666666666,5.935483870967742,0.005784612861728374,0.043819387625772456
Tier 2,,gamma-Glutamyl-Serine,1.5946666666666667,0.26866666666666666,5.935483870967742,0.005784612861728374,0.043819387625772456
Tier 1,C00954,Indole-3-acetic acid,3.346,0.5833333333333334,5.736,0.0004696386131566568,0.009397281140068891
Tier 1,,N-Acetyl-Glycine,1.4636666666666667,0.26966666666666667,5.427688504326329,0.002785594591374178,0.02807394896871889
Tier 2,,"N-Acetyl-2-Carboxy-2,3-dihydro-5,6-dihydroxyindole",0.9510000000000001,0.1783,5.333707234997196,0.0024740538265026644,0.02577330326823887
Tier 2,C03656,(S)-5-Amino-3-oxohexanoic acid,2.7840000000000003,0.6006666666666667,4.634850166481687,0.023439617612350024,0.1025151577838252
Tier 1,,4-(4-Hydroxyphenyl)-2-butanone,4.328666666666667,0.9363333333333334,4.622997508009968,5.2875385162932084e-05,0.003404587300213238
Tier 2,C14452,Morpholine,0.874,0.19166666666666668,4.56,0.04582888026114361,0.15132670148907532
Tier 2,,Quercetin 3-O-Rhamnoside-7-O-Glucoside,1.0473333333333332,0.23113333333333333,4.531295067781944,0.02414783327082025,0.10365681022548395
Tier 2,,Dhelwangin,3.9296666666666673,0.8693333333333334,4.520322085889571,1.277123955250065e-06,0.00027922807769075066
Tier 2,C05658,Isomer 1 of Indoxyl,6.207333333333334,1.3743333333333334,4.516614115934999,0.0429169364817848,0.1445951435534552
Tier 2,,Isomer 1 of Leucyl-Glutamic acid,2.516,0.5583333333333332,4.5062686567164185,0.0124232959911287,0.07199300026859082
Tier 2,,1-Pyrroline-5-carboxylic acid,1.3663333333333334,0.3051333333333333,4.477823902119293,0.007884207697412538,0.05343740772690721
Tier 2,C19712,N-Hydroxy-L-phenylalanine,1.563,0.3496666666666666,4.469971401334605,0.0005930354493788052,0.011233023372186282
Tier 1,C00327,Citrulline,1.3766666666666667,0.30966666666666665,4.445640473627557,0.011111442721197236,0.0675779975881628
Tier 2,,"Cyanidin 3-O-(6""-O-Malyl-beta-D-Glucoside)",2.0526666666666666,0.465,4.414336917562724,0.022185523505026054,0.10048646225257171
Tier 1,HMDB0003148,Argininic acid,1.5666666666666664,0.357,4.3884220354808585,0.021614649920055636,0.09901730931756711
Tier 1,HMDB0029030,Prolyl-Valine,1.9333333333333336,0.45366666666666666,4.26157237325496,0.003690371920864261,0.03215895531038856
Tier 1,HMDB0029120,Valyl-Alanine,0.9943333333333334,0.23800000000000002,4.177871148459384,0.04824948505664501,0.15519584165146344
Tier 2,,A-Ketoglutaric acid oxime,2.3813333333333335,0.5783333333333333,4.117579250720462,0.015345193078100828,0.0842894728792363
Tier 2,C01092,8-Amino-7-oxononanoic acid,2.0196666666666667,0.49066666666666664,4.11616847826087,0.0039710615072729135,0.034018019660995075
Tier 1,C02504,2-Isopropylmalic acid,2.863,0.6993333333333333,4.093898951382269,0.022628961732460068,0.10048646225257171
Tier 2,,"4,6-Dihydroxyquinoline",3.6763333333333335,0.91,4.03992673992674,0.04390648292468009,0.1466501836014531
Tier 2,,Isomer 1 of 3-Hydroxy-4-aminopyridine,1.1463333333333334,0.294,3.8990929705215427,0.03143271032657733,0.11905395839380106
Tier 2,C16432,5-Hydroxyectoine,3.2153333333333336,0.8432333333333334,3.8131003676325257,0.02528638260361061,0.10504271483005267
Tier 2,C14837,"Isomer 1 of 9,10-Dihydroxy-12,13-epoxyoctadecanoic acid",2.6744,0.7193333333333335,3.7178869323447628,0.028982846230196205,0.11310141003635489
Tier 2,,2-Aminoacetophenone,1.1103333333333334,0.3033333333333333,3.660439560439561,0.03515509381402974,0.12693069697962764
Tier 1,HMDB0028683,Alanyl-Aspartic acid,2.4723333333333333,0.7006666666666667,3.528544243577545,0.04321835872428288,0.1451886311925909
Tier 1,HMDB0013292,p-Methylhippuric acid,1.862,0.5313333333333333,3.504391468005019,0.0006331171316685753,0.011233023372186282
Tier 2,,2-Oxo-4-hydroxy-5-aminovaleric acid,0.9513333333333334,0.28099999999999997,3.38552787663108,0.024012413670630575,0.10365681022548395
Tier 1,HMDB0029027,Prolyl-Threonine,2.8073333333333337,0.8373333333333334,3.352707006369427,0.04066668703126448,0.14048554677759614
Tier 1,C00860,Histidinol,0.12766666666666668,0.03816666666666666,3.3449781659388655,0.024462010673733194,0.10394044554103953
Tier 2,,"N3-Fumaroyl-L-2,3-diaminopropanoic acid",1.7946666666666664,0.5529333333333334,3.2457197974439347,0.01808555495834362,0.09085589746206978
Tier 1,C00148,Proline,2.079,0.6453333333333333,3.2215909090909096,0.024091606939881504,0.10365681022548395
Tier 1,HMDB0028680,Alanyl-Alanine,1.835,0.5710000000000001,3.2136602451838874,0.03390422711778722,0.12534292793515567
