Identification Level,External Identifier,Compound,sMEnD2_mean,sMED2_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,N-Acetyl-N-(L-Arginino)succinic acid,2.046666666666667,0.10263333333333331,19.941539460863922,0.007638532248672772,0.0926111080736585
Tier 2,,N3-Acetyl-3'-Hydroxykynurenamine,1.9599999999999997,0.10046666666666666,19.50895819508958,0.02851490390010071,0.16122912952860682
Tier 2,C05954,Prostaglandin B2,1.2676666666666667,0.06843333333333333,18.52411105698977,0.04093449233725961,0.19157006764194118
Tier 2,C02220,2-Aminomuconic acid,6.555666666666667,0.4538333333333333,14.44509731913331,0.0075164271617744575,0.0926111080736585
Tier 1,C00047,Lysine,1.1176666666666666,0.07933333333333334,14.088235294117645,0.02315986433356349,0.14595539501881158
Tier 2,C03194,(R)-1-Aminopropan-2-ol,2.4796666666666667,0.17666666666666667,14.035849056603773,0.0012362380836662135,0.06186493898690722
Tier 2,,Lysyl-Glutamic acid,1.303,0.09633333333333333,13.525951557093427,0.044013618846660864,0.19157006764194118
Tier 1,HMDB0029071,Threoninyl-Threonine,2.0396666666666667,0.16306666666666667,12.508176614881439,0.0427655417204693,0.19157006764194118
Tier 2,C14828,"9,10-DHOME",1.2903333333333333,0.10633333333333334,12.134796238244514,0.008286909946473109,0.09425279241909826
Tier 2,,Gly-Gly-Gly-Gly,1.7826666666666666,0.14933333333333332,11.937500000000002,0.03722211649136211,0.19037280812250806
Tier 1,C00106,Uracil,1.844,0.19266666666666665,9.570934256055365,0.03821707341064375,0.19037280812250806
Tier 2,C16311,12-Oxo-9(Z)-dodecenoic acid,1.2586666666666666,0.13246666666666665,9.501761449421238,0.0001695923759367497,0.03420112914724452
Tier 1,HMDB0028832,Glutamyl-Valine,1.744,0.18666666666666668,9.342857142857142,0.03942864037221572,0.1912932208444934
Tier 2,C16326,9(S)-HOT,2.9120000000000004,0.3193333333333333,9.11899791231733,0.04774552427385722,0.19921408403919735
Tier 2,,gamma-L-Glutamyl-L-2-aminobutyric acid,2.1186666666666665,0.24156666666666668,8.770525734786807,0.016115660549680288,0.1266230471760594
Tier 2,,1-O-4-Hydroxybenzoyl-beta-D-Glucose,3.139,0.36600000000000005,8.576502732240435,0.010643248817138145,0.1000476446185372
Tier 2,,N-Ribosylhistidine,2.794,0.3485666666666667,8.01568327436167,0.01956139384736854,0.13603038250181573
Tier 1,HMDB0029056,Threoninyl-Asparagine,1.9023333333333332,0.25533333333333336,7.450391644908615,0.02580117410395851,0.1501686685187159
Tier 1,HMDB0028959,Lysyl-Proline,0.6476666666666667,0.09100000000000001,7.117216117216117,0.008792996606731272,0.09425279241909826
Tier 1,C00122,Fumaric Acid,1.4033333333333333,0.20466666666666666,6.856677524429967,0.024643316054346824,0.14909206212879828
Tier 2,C00441,L-Aspartate 4-semialdehyde,1.4479999999999997,0.21223333333333336,6.822679440866969,0.000135868539004787,0.03420112914724452
Tier 2,C06185,Slaframine,2.341666666666667,0.34933333333333333,6.703244274809161,0.027231463546751995,0.15690509948366627
Tier 2,,"15H-11,12-EETA",1.3709999999999998,0.20563333333333333,6.667207002755713,0.03186760463263455,0.17687982387838444
Tier 2,C16316,13(S)-HOT,2.5980000000000003,0.39293333333333336,6.61180861893451,0.035347798912386486,0.18925148975215775
Tier 2,C03296,N2-Succinyl-L-arginine,1.429,0.23033333333333336,6.204052098408104,0.015593763730164195,0.12578969408999116
Tier 2,C21762,4-Hydroxytryptamine,1.7973333333333332,0.2924,6.146830825353397,0.017486583163170356,0.1290439998167549
Tier 2,C05665,3-Aminopropanal,2.9553333333333334,0.4952666666666666,5.967155741014943,0.007058595317371158,0.0926111080736585
Tier 2,C05957,Prostaglandin J2,1.4776666666666667,0.25166666666666665,5.871523178807948,0.004704460229540616,0.07906106774644647
Tier 1,C00352,D-Glucosamine 6-phosphate,2.522,0.43096666666666666,5.8519607084848015,0.0029712651161292658,0.06703326429549522
Tier 2,,Isomer 1 of Prolyl-Glutamine,2.4006666666666665,0.432,5.557098765432098,0.04099061343934977,0.19157006764194118
Tier 1,,N-Acetyl-Homoserine,3.6470000000000002,0.6839999999999998,5.331871345029241,0.0015139522481764523,0.06186493898690722
Tier 2,,N-Acetyl-Dopamine,0.4163333333333334,0.07873333333333334,5.287891617273497,0.002042813917745627,0.06703326429549522
Tier 2,C07354,"Isomer 1 of (7S,8S)-DiHODE",1.4723333333333333,0.27976666666666666,5.262718932443703,0.00860350013058837,0.09425279241909826
Tier 1,C00002,Adenosine,1.9206666666666667,0.371,5.176999101527404,0.0007783525984467952,0.05886291525753889
Tier 2,,4-Hydroxypiperidine,1.5996666666666668,0.3216666666666667,4.973056994818653,0.0014887940628795532,0.06186493898690722
Tier 2,C07289,Crepenynic acid,1.3793333333333333,0.28099999999999997,4.908659549228944,0.013814663352271852,0.12112856997281841
Tier 2,,Hydroxyprolyl-Hydroxyproline,2.3753333333333333,0.49466666666666664,4.80188679245283,0.0018310513624802073,0.06703326429549522
Tier 1,HMDB0028938,Leucyl-Serine,1.1393333333333333,0.2373333333333333,4.80056179775281,0.047672709105564426,0.19921408403919735
Tier 1,HMDB0028692,Alanyl-Lysine,0.7353333333333333,0.15333333333333332,4.7956521739130435,0.03298765122308819,0.17979755846818335
Tier 2,C00183,Isomer 1 of Valine,2.0196666666666667,0.43366666666666664,4.657186779400462,0.0009000814184816992,0.06032522783753223
Tier 2,C12455,5-Aminopentanal,1.547,0.3336666666666666,4.636363636363637,0.0028941801542091573,0.06703326429549522
Tier 2,C04577,15-OxoETE,1.3023333333333333,0.28099999999999997,4.634638196915778,0.010748920496206476,0.1000476446185372
Tier 2,C05958,Delta-12-Prostaglandin J2,1.601,0.3563333333333334,4.4929840972871835,0.01750770596928892,0.1290439998167549
Tier 2,C06469,Neuraminic acid,1.593,0.3566666666666667,4.4663551401869155,0.003703794571704614,0.07210280193021171
Tier 2,C14765,13-OxoODE,1.3606666666666667,0.30566666666666664,4.451472191930208,0.014797507969432777,0.12263688111653191
Tier 2,,Isomer 1 of Glycyl-Lysine,1.654,0.3765666666666667,4.392316544215277,0.04537236916585039,0.19331185454464428
Tier 2,C21646,8-Amino-8-demethylriboflavin,0.7676666666666666,0.18226666666666666,4.211777615215801,0.002991567166906398,0.06703326429549522
