Identification Level,External Identifier,Compound,sFED4_mean,sMED4_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,C05627,4-Hydroxystyrene,1.8783333333333336,0.0113,166.2241887905605,0.00027815413369830776,0.01615916846174959
Tier 2,C16311,12-Oxo-9(Z)-dodecenoic acid,1.593,0.05886666666666666,27.061155152887885,0.03726769158175733,0.18591254143356656
Tier 2,C16701,Norbelladine,1.1980000000000002,0.0631,18.985736925515056,0.0021105561870282913,0.05264330146501995
Tier 1,C01595,Linoleic Acid,0.3096666666666667,0.037166666666666674,8.331838565022421,0.004718164645269499,0.07771618368528815
Tier 1,,4-Chloroindole-3-acetic acid,4.2843333333333335,0.5730666666666667,7.476151698464402,0.00033317873117009463,0.01615916846174959
Tier 2,,"(R)-2-Hydroxybutane-1,2,4-tricarboxylic acid",1.5153333333333332,0.23723333333333332,6.3875228326542075,0.03952055918118584,0.19027112366971002
Tier 2,,"15-Deoxy-Delta12,14-PGJ2",1.209666666666667,0.1998333333333333,6.053377814845707,0.004016333729145827,0.0715563131743736
Tier 2,C00974,Kaempferol,1.6470000000000002,0.2893666666666667,5.691740582882156,7.106839457814673e-05,0.008863244066674585
Tier 1,,N-acetyl-Ornithine,0.941,0.17066666666666666,5.513671875,0.031086169754202038,0.1706806678957131
Tier 2,,"5S,8R-DiHODE",1.4186666666666667,0.28226666666666667,5.02598016060463,0.041414286087329624,0.19649278127303674
Tier 1,C01596,Maleamic acid,1.506,0.3333,4.518451845184519,0.018546041374289102,0.147416183891913
Tier 1,C00055,Cytidine,1.3966666666666667,0.4195,3.3293603496225668,0.046520181676476216,0.20935282649279058
Tier 1,C00491,Cystine,0.39366666666666666,0.12079999999999998,3.2588300220750557,0.013326006659575453,0.12812585983729277
Tier 1,C00388,Histamine,0.6083333333333333,0.19093333333333337,3.1861033519553064,0.0039354054974771535,0.0715563131743736
Tier 2,,"2-Ethyl-3,4-dihydroxyfuran",1.6849999999999998,0.5312,3.172063253012048,0.0028040140076063904,0.06276677509334305
Tier 2,,2-Amino-2-deoxy-D-gluconic acid,0.8703333333333333,0.278,3.1306954436450836,0.0002936669195690653,0.01615916846174959
Tier 2,,Formylanthranilic acid,0.5223333333333334,0.1678666666666667,3.1115965051628276,0.006309873384804478,0.09995486458062393
Tier 1,C01933,Norleucine,0.902,0.2946666666666667,3.0610859728506785,0.018912500109844507,0.147416183891913
Tier 1,C00123,Leucine,0.9573333333333333,0.328,2.9186991869918697,0.0071907046754936905,0.10823250313286192
Tier 2,,N-Acetyl-L-Pipecolic acid,0.7823333333333334,0.27153333333333335,2.8811686717407317,0.0009766432417457889,0.031578131483113836
Tier 2,C06052,5-Pyridoxolactone,0.9306666666666666,0.3251,2.86270891007895,0.009114791249712957,0.1152046865845106
Tier 2,,N2-Acetyl-L-Hydroxylysine,0.805,0.2886666666666667,2.7886836027713624,0.0003273873738210487,0.01615916846174959
Tier 2,,4-Ethoxyphenol,0.5690000000000001,0.2116,2.6890359168241966,0.02466443799532724,0.1575248630657499
Tier 2,,Lysyl-Glutamic acid,1.663,0.6206666666666667,2.67937701396348,0.0007827516117652084,0.02628239065657796
Tier 1,,5-Aminolevulinic acid,1.6266666666666667,0.616,2.6406926406926408,0.042745757817006465,0.19955639879276282
Tier 1,C00835,Sepiapterin,0.6036666666666667,0.23163333333333333,2.6061303784717227,0.02416304865166613,0.1562543812807743
Tier 1,C00956,Aminoadipic acid,1.1696666666666664,0.449,2.6050482553823304,0.0007796454048381953,0.02628239065657796
Tier 2,C22140,L-gamma-Glutamyl-(3R)-L-beta-ethynylserine,1.4166666666666667,0.5438333333333334,2.6049647563591787,0.016553785203692665,0.13952607399248765
Tier 1,,N6-Acetyl-Lysine,0.832,0.3202333333333333,2.598105548037889,0.01448974404981057,0.13130924092485302
Tier 1,C00141,Valine,0.7306666666666667,0.2843333333333333,2.5697538100820636,0.0014160490086769595,0.04155751199846051
Tier 2,,N-Acetyl-2-Aminomuconate semialdehyde,1.0806666666666667,0.42113333333333336,2.5660914991293335,7.072017008345275e-05,0.008863244066674585
Tier 2,C00219,Arachidonic acid,0.862,0.33749999999999997,2.5540740740740744,0.014769647858689167,0.13157043449628206
