Identification Level,External Identifier,Compound,sFEnD4_mean,sFEnD3_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,Isomer 1 of Prolyl-Threonine,3.693,0.547,6.751371115173674,0.041073919730134315,0.2787466822929481
Tier 2,,Isomer 3 of Prolyl-Threonine,1.8876666666666668,0.3203333333333333,5.892819979188347,0.03565732477816613,0.2757060103552678
Tier 2,,Furaneol (Enol Form),2.3596666666666666,0.5086666666666667,4.638925294888597,0.0012156220842380746,0.08687354994928613
Tier 2,,Isomer 1 of Prolyl-Leucine,2.9966666666666666,0.6493333333333334,4.614989733059548,0.0012818940750518228,0.08687354994928613
Tier 2,,Isomer 2 of Prolyl-Threonine,2.4130000000000003,0.5833333333333334,4.136571428571429,0.007235725557252549,0.15529264422835842
Tier 2,C10434,5-O-Caffeoylshikimic acid,1.1526666666666667,0.31506666666666666,3.658484976724503,0.026584945881572192,0.23758338460265027
Tier 2,C04092,Delta1-Piperideine-2-carboxylic acid,1.5123333333333335,0.41733333333333333,3.6238019169329077,0.007159895244915846,0.15529264422835842
Tier 2,C17755,Dopamine quinone,1.9509999999999998,0.5499999999999999,3.5472727272727274,0.015436840796136705,0.1943136891422376
Tier 2,C02298,Indoxyl,0.84,0.23700000000000002,3.5443037974683542,0.04538313751553776,0.28498251786336504
Tier 2,,3-O-Caffeoylshikimic acid,1.1823333333333332,0.34613333333333335,3.415832049306625,0.03638141771337353,0.27593382781566156
Tier 2,C22137,Isomer 1 of 4-Chloro-L-lysine,1.1456666666666668,0.34366666666666673,3.3336566440349173,0.042547807382614614,0.2787466822929481
Tier 2,,Hydroxyprolyl-Valine,1.9789999999999999,0.6633333333333332,2.983417085427136,0.03150551659125426,0.2589708775125084
Tier 1,C00408,Pipecolic acid,2.1329999999999996,0.719,2.966620305980528,0.002052083928988684,0.09368816332338942
Tier 1,C00860,Histidinol,3.807333333333333,1.3286666666666667,2.8655293527345704,0.0452554921319438,0.28498251786336504
Tier 2,,"2,6-Dihydroxynicotinic acid",1.2919999999999998,0.46046666666666664,2.805849138555089,0.032854762525016415,0.26678301694601886
Tier 2,C19712,N-Hydroxy-L-phenylalanine,3.2259999999999995,1.285,2.5105058365758754,0.03996111358359414,0.2787466822929481
Tier 2,,N-Acetyl-(S)-2-Aminobutanoic acid,6.323,2.622666666666667,2.410904931367565,0.035274255056640315,0.2757060103552678
Tier 2,C11854,Gibberellin A51-catabolite,2.962666666666667,1.2357666666666667,2.3974320934372724,0.028650658710991546,0.2483877927849652
Tier 2,C03955,N6-Acetyl-N6-hydroxy-L-lysine,1.4316666666666666,0.6022666666666666,2.3771308390524686,0.016617022394489145,0.20061592661680125
Tier 2,C00872,Isomer 2 of Aminomalonic acid,1.6116666666666666,0.6869999999999999,2.3459485686559924,0.04694236703242294,0.2894191424318696
Tier 2,C02362,2-Oxosuccinamic acid,1.4293333333333333,0.6236666666666667,2.291822554783538,0.04173536190417709,0.2787466822929481
Tier 2,C05791,D-Urobilin,0.734,0.3445333333333333,2.130417956656347,0.0037031545297770536,0.11922100277810015
Tier 2,C03824,2-Aminomuconate semialdehyde,2.3776666666666664,1.1433333333333333,2.0795918367346937,0.03532852320694558,0.2757060103552678
Tier 1,C00188,Threonine,2.3356666666666666,1.1483333333333334,2.033962264150943,0.037308416341661196,0.2768846469553712
Tier 2,C00559,Isomer 1 of Deoxyadenosine,1.798,0.892,2.015695067264574,0.024435066958158794,0.23503607812683908
Tier 2,C08557,Miraxanthin-V,1.7113333333333334,0.8689333333333332,1.9694644775203318,2.9774172525635776e-05,0.011502755319070622
Tier 1,C00242,Guanine,2.089,1.1396666666666668,1.8329921029540799,0.0008984314387513615,0.08009861827021754
Tier 2,,cis-Caffeic acid,1.1683333333333332,0.6384666666666666,1.829904980682886,0.007369366205832366,0.15529264422835842
Tier 1,C03401,"2,3-Diaminoproprionic acid",1.4816666666666665,0.836,1.7723285486443379,0.03773690399812704,0.2768846469553712
Tier 1,C00131,Deoxyadenosine,0.6743333333333332,0.3811333333333333,1.7692845898198353,0.04506998638685464,0.28498251786336504
Tier 2,,3-Methylhistamine,0.6886666666666666,0.4283333333333333,1.6077821011673152,0.007120122779489593,0.15529264422835842
Tier 1,,beta-Alanine methyl ester,1.1213333333333333,0.7043333333333334,1.5920492191197348,0.014528677912802924,0.1943136891422376
Tier 1,HMDB0029030,Prolyl-Valine,2.058333333333333,1.3339999999999999,1.5429785107446277,0.014862778959036557,0.1943136891422376
Tier 1,HMDB0029113,Tyrosyl-Proline,0.505,0.7603333333333332,0.6641823761508112,0.031037014089182573,0.2569421380668757
Tier 2,C04545,1-Methylguanosine,0.48456666666666665,0.7341666666666667,0.6600227014755958,0.030529664764083565,0.2569421380668757
Tier 1,C00188,3-Hydroxybutyric Acid,0.5472333333333333,0.8303333333333334,0.6590525893215576,0.0012382311048475829,0.08687354994928613
Tier 2,C03479,Folinic acid,1.0123333333333333,1.54,0.6573593073593074,0.014688570041699817,0.1943136891422376
Tier 2,,10-Formyltetrahydrofolic acid,1.0123333333333333,1.54,0.6573593073593074,0.014688570041699817,0.1943136891422376
Tier 2,,3-Dehydro-L-threonic acid,0.5733333333333334,0.8743333333333333,0.6557377049180328,0.030991861792347277,0.2569421380668757
Tier 2,,"3,5-Dihydroxyanisole",0.24609999999999999,0.37786666666666663,0.651287932251235,0.02421133536012089,0.23503607812683908
Tier 2,,Myricetin 3-O-Gentiobioside,0.6233333333333333,0.9571,0.6512729425695678,0.024166206946948682,0.23503607812683908
Tier 2,C16405,Homoeriodictyol chalcone,0.5321666666666667,0.8171333333333334,0.6512605042016807,0.024166778528392614,0.23503607812683908
Tier 1,C00059,Uric acid,0.4844,0.7437999999999999,0.6512503361118581,0.024163684910658394,0.23503607812683908
Tier 2,,Isomer 1 of 1-O-(4-Coumaroyl)-beta-D-Glucose,0.32853333333333334,0.5045000000000001,0.6512058143376279,0.024166293406685625,0.23503607812683908
Tier 1,,4-Ethylguaiacol,0.1885,0.2894666666666667,0.6511976047904191,0.024136752513133516,0.23503607812683908
Tier 2,C00616,Quercetin 3-sulfate,0.1384,0.21253333333333332,0.6511919698870765,0.024115006620091146,0.23503607812683908
Tier 2,,Robustaquinone A,0.14713333333333334,0.22596666666666665,0.6511284850272903,0.02408469272194983,0.23503607812683908
Tier 2,,Glycyl-Arginine,1.422,2.1926666666666663,0.6485253876558225,0.0102006758080024,0.18037703554709278
Tier 2,C00789,CDP-ribitol,0.4522333333333333,0.7015666666666668,0.6446049318192615,0.026807501901412744,0.23758338460265027
Tier 2,,"2,4-Dihydroxycinnamate",0.5816,0.9150666666666666,0.6355821069503134,0.015656401317342566,0.1943136891422376
Tier 2,C03884,L-Targinine,0.7198666666666668,1.1350333333333333,0.634225132888902,0.027878644137622498,0.24478294360230662
Tier 2,C01877,4-Oxoproline,0.41733333333333333,0.6669999999999999,0.6256871564217892,0.013162325858426681,0.1943136891422376
