Identification Level,External Identifier,Compound,sFEnD1_mean,sMEnD1_mean,Fold_Change,P_Value,FDR_P_Value
Tier 1,,"6,7-Dihydroxycoumarin",3.5239999999999996,0.5166000000000001,6.821525358110723,0.0017852982653781813,0.129322543098332
Tier 2,,"D-Galactaro-1,5-lactone",1.3226666666666667,0.2497666666666667,5.295609235286267,0.022901869339645248,0.27940280594367206
Tier 2,C16673,Isomer 1 of Isoglutamine,3.0720000000000005,0.6433333333333332,4.775129533678758,0.033072540618658906,0.3167857403059973
Tier 1,C00152,Asparagine,3.6846666666666668,0.9983333333333334,3.6908180300500835,0.024961753280278023,0.2861128809736949
Tier 2,C05962,6-Keto-prostaglandin E1,2.4723333333333333,0.7179666666666668,3.4435210548307715,0.04535601146035474,0.32981639128300766
Tier 2,C02512,3-Cyano-L-alanine,4.538333333333334,1.3783333333333332,3.2926239419588885,0.04426729504988505,0.32981639128300766
Tier 2,,Succinyladenosine,1.1126666666666667,0.3473333333333333,3.2034548944337815,0.0004938433972388213,0.11447289947995877
Tier 2,C16399,"2,4-Diamino-6-hydroxylaminotoluene",0.30933333333333335,0.10266666666666667,3.012987012987013,0.023491109864141053,0.2806824364179328
Tier 2,,"5,10-Methenyltetrahydrofolic acid",4.718666666666667,1.604,2.9418121363258516,0.024429057652555385,0.2861128809736949
Tier 2,C17235,L-Homophenylalanine,1.4176666666666666,0.4945333333333333,2.8666756538150446,0.005471445897333262,0.2080310593225277
Tier 2,C05786,(3Z)-Phycocyanobilin,2.9313333333333333,1.056,2.7758838383838382,0.04166498957249155,0.32698199132505396
Tier 2,,2-Formylglutaric acid,17.326333333333334,6.307466666666667,2.746955988669513,0.04906056778257574,0.3325216260819022
Tier 2,,1H-Indole-3-methanamine,0.5793333333333334,0.2173333333333333,2.665644171779142,0.004924090156348458,0.20382216040028084
Tier 2,C14837,"9,10-Dihydroxy-12,13-epoxyoctadecanoic acid",2.0886666666666667,0.8370000000000001,2.4954201513341294,0.02229061143089592,0.27681945358329796
Tier 2,,Echinatin,0.641,0.26053333333333334,2.4603377686796315,0.006401450287319294,0.21197945380008748
Tier 2,,N-Acetyl-N(omega)-Hydroxyarginine,1.8953333333333333,0.8196666666666667,2.3123220821472144,0.04493667259142867,0.32981639128300766
Tier 1,C01108,Gallic Acid,1.4936666666666667,0.6608999999999999,2.260049427548293,0.016098684979606898,0.26044066575241576
Tier 2,,2-Hydroxy-3-oxopropanoic acid,1.9096666666666666,0.8477333333333333,2.2526737967914436,0.008780056975317724,0.24949231097895735
Tier 2,,"(3S)-3,6-Diaminohexanoic acid",2.0526666666666666,0.9519666666666667,2.1562379635141284,0.013565066884033286,0.26044066575241576
Tier 2,,gamma-Glutamyl-Threonine,0.4683333333333333,0.23033333333333336,2.03328509406657,0.014238432360170396,0.26044066575241576
Tier 2,,"7,8-Dihydrobiopterin",1.547,0.7646666666666667,2.0231037489102004,0.022451275786738573,0.27681945358329796
Tier 1,C00383,Malonic acid,2.0850000000000004,1.0330000000000001,2.0183930300096806,0.012439570530107165,0.26044066575241576
Tier 1,C00203,D-Galactosamine,2.961,1.4749999999999999,2.007457627118644,0.031861950624301416,0.3109103576170751
Tier 2,C12115,3-Amino-4-hydroxybenzoic acid,0.48666666666666675,0.24766666666666662,1.9650067294751017,0.0010627266782319304,0.12855541540990845
Tier 1,C00242,Guanine,0.49233333333333335,0.25066666666666665,1.9640957446808514,0.03084982541157152,0.3082323073449258
Tier 1,HMDB0014389,Mesalazine,0.4876666666666667,0.2523333333333333,1.932628797886394,0.002574783453002943,0.1516396895426867
Tier 2,,"3,4-Dihydroxyphenylacetaldehyde",0.56,0.293,1.9112627986348125,0.0029637279824222657,0.15613457871033665
Tier 2,C04441,2-(3-Carboxy-3-aminopropyl)-L-histidine,0.5153333333333333,0.26966666666666667,1.911001236093943,0.003872085966101244,0.17950990538845366
Tier 2,C16550,3-Dechloroethylifosfamide,0.7323333333333334,0.38400000000000006,1.9071180555555554,0.010559153564617873,0.24949231097895735
Tier 2,,Rhamnalpinogenin,4.906333333333333,2.5873333333333335,1.8962896160783302,0.016744881042512625,0.26044066575241576
Tier 2,,Robustaquinone A,5.526666666666666,3.0323333333333333,1.8225788721556557,0.019026225462571128,0.2676661453278029
Tier 2,,2-Dehydro-3-deoxy-D-xylonic acid/2-Dehydro-3-deoxy-L-arabinonic acid,1.5,0.8330000000000001,1.800720288115246,0.001181707332489348,0.12855541540990845
Tier 2,,cyclic 6-Hydroxymelatonin,0.6783333333333333,0.37833333333333335,1.7929515418502202,0.049842464413602086,0.3353926270744144
Tier 1,C03283,"2,4-Diaminobutanoic acid",1.3536666666666666,0.755,1.7929359823399558,0.00637628405390127,0.21197945380008748
Tier 2,C06032,D-erythro-3-Methylmalic acid,1.4876666666666665,0.8316666666666667,1.7887775551102203,0.0015401279242600418,0.1290120370950489
Tier 1,C00956,Aminoadipic acid,2.612,1.4633333333333336,1.7849658314350794,0.04175438715798791,0.32698199132505396
Tier 2,C16196,"1,2-Dihydroxynaphthalene-6-sulfonic acid",1.0093333333333334,0.5773333333333334,1.748267898383372,0.009978227876409377,0.24949231097895735
Tier 1,HMDB0029067,Threoninyl-Methionine,1.3516666666666666,0.7796666666666666,1.7336468576314665,0.021598449014938265,0.27508354294849946
Tier 2,C17743,Bisdemethoxycurcumin,0.39766666666666667,0.23140000000000002,1.7185249207721116,0.04604406344591309,0.32981639128300766
Tier 2,,Aspartyl-gamma-Glutamic acid,3.158,1.906,1.6568730325288563,0.02319821949820882,0.28007017081691693
Tier 2,C12136,(-)-Epigallocatechin,3.7913333333333328,2.2923333333333336,1.6539188599680088,0.04703772886331486,0.32981639128300766
Tier 2,C00407,Isomer 1 of L-Isoleucine,2.8529999999999998,1.7296666666666667,1.6494507612256695,0.021533589840944806,0.27508354294849946
Tier 2,C00127,Glutathione disulfide,3.779333333333333,2.293,1.6482046809129232,0.047812466163622516,0.3298490969264196
Tier 2,,N-Acetyl-L-Cystine,1.7386666666666664,1.0736666666666668,1.6193728655696984,0.040642670102781456,0.32680427490064207
Tier 1,C01771,Crotonic Acid,1.4333333333333333,0.8937666666666667,1.6036996979077314,0.015063477507803224,0.26044066575241576
Tier 2,,Aminoethoxyacetic acid,0.9363333333333334,0.5910000000000001,1.5843203609701069,0.03701409628278534,0.32680427490064207
Tier 1,,N6-Acetyl-Lysine,1.0173333333333334,0.643,1.5821669258683257,0.015491683033436421,0.26044066575241576
Tier 2,C00051,Glutathione,2.1229999999999998,1.344,1.579613095238095,0.01986836653764136,0.2676661453278029
Tier 1,HMDB0028814,Glutamyl-Asparagine,2.1860000000000004,1.3866666666666667,1.576442307692308,0.02779466484181144,0.2997610115446903
Tier 2,,Tyrosinamide,2.222,1.4236666666666666,1.5607586045422617,0.02020397438018034,0.2676661453278029
Tier 2,,Prolyl-Asparagine,1.539,0.9876666666666667,1.5582180222747215,0.005583162341871489,0.2080310593225277
Tier 2,C02961,Cytarabine,0.11299999999999999,0.07266666666666667,1.5550458715596327,0.038398285619600736,0.32680427490064207
Tier 1,HMDB0029120,Valyl-Alanine,0.30833333333333335,0.19866666666666666,1.552013422818792,0.04609215186071929,0.32981639128300766
Tier 2,,N-Acetyl-Tetrahydrobiopterin,1.413,0.9129999999999999,1.5476451259583792,0.0026260795932209653,0.1516396895426867
Tier 1,C00055,Cytidine,0.11933333333333333,0.07733333333333334,1.5431034482758619,0.04863415805684785,0.3315705246346274
Tier 2,,2-(Hydroxymethyl)-4-oxobutanoic acid,1.7489999999999999,1.1381000000000001,1.5367718126702397,0.0255935004875774,0.28798900063206023
Tier 2,,Isomer 1 of Dehydroisocoproporphyrinogen,0.7949999999999999,0.5176666666666666,1.5357372826786864,0.040797525595123244,0.32680427490064207
Tier 2,C05715,gamma-Amino-gamma-cyanobutanoic acid,1.2603333333333333,0.826,1.5258272800645682,0.03192263378466949,0.3109103576170751
Tier 2,,Glutaminyl-Leucine,0.8476666666666666,0.5599999999999999,1.5136904761904761,0.04776706472535448,0.3298490969264196
Tier 1,HMDB0028822,Glutamyl-Isoleucine,1.138,0.7523333333333334,1.51262738147984,0.01707180685151153,0.26044066575241576
Tier 2,C03296,N2-Succinyl-L-arginine,1.7060000000000002,1.13,1.5097345132743365,0.011193787895518363,0.24949231097895735
Tier 2,,2-Hydroxyethylenedicarboxylic acid,4.007000000000001,6.239333333333334,0.6422160487231543,0.024932007908762432,0.2861128809736949
Tier 2,C02637,3-Dehydroshikimic acid,1.9686666666666666,3.0683333333333334,0.6416078218359587,0.0429434555471614,0.32981639128300766
Tier 2,C05647,Formyl-5-hydroxykynurenamine,1.1766666666666667,1.901,0.6189724706294932,0.009546607273215432,0.24949231097895735
Tier 2,C16414,2-Amino-5-hydroxyl-4-hydroxylamino-6-nitrotoluene,1.297,2.1136666666666666,0.6136256111023498,0.04233313645906795,0.3292892963493943
Tier 1,C00082,Tyrosine,0.3293333333333333,0.5383333333333334,0.6117647058823528,0.025060443800342863,0.2861128809736949
Tier 2,C00493,Shikimic acid,1.3399999999999999,2.2163333333333335,0.60460219581892,0.007803421595055521,0.24443690888295536
Tier 2,,Methylmalonylcarnitine,0.31446666666666667,0.5203333333333333,0.6043561819346573,0.016016521552545418,0.26044066575241576
Tier 2,,N2-Hydroxy-L-Tryptophan,0.5695666666666668,0.9546666666666667,0.5966131284916202,0.010213497383811547,0.24949231097895735
Tier 2,C06442,N(gamma)-Acetyldiaminobutyric acid,0.9196666666666666,1.542,0.5964115866839602,0.04101333502351899,0.32680427490064207
