Identification Level,External Identifier,Compound,sFED4_mean,sFED3_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,Isomer 2 of Prolyl-Histidine,2.23,0.4033333333333333,5.528925619834711,0.03791705835045237,0.28012460602491357
Tier 2,,Isomer 1 of Prolyl-Histidine,2.243,0.434,5.168202764976958,0.021799258560123252,0.231225808720815
Tier 2,,4-(beta-D-Glucosyloxy)benzoic acid,1.607,0.32643333333333335,4.922904115184315,0.036773005522591405,0.2767485674243301
Tier 1,HMDB0028893,Histidinyl-Proline,3.4450000000000003,0.7186666666666667,4.793599257884972,0.0019110705659020114,0.15036308743679616
Tier 1,,4-Chloroindole-3-acetic acid,4.2843333333333335,0.9466666666666667,4.525704225352113,0.015731410473977744,0.21582532681580502
Tier 2,C14828,"9,10-DHOME",1.8053333333333335,0.44733333333333336,4.0357675111773474,0.01944623546647992,0.22410737099461905
Tier 2,C02220,2-Aminomuconic acid,2.377333333333333,0.5896666666666667,4.031656302996042,0.020279639300106057,0.22410737099461905
Tier 2,C02165,Leukotriene B4,1.8133333333333332,0.48566666666666664,3.733699382292382,0.011294498057033598,0.18069728146525774
Tier 2,C10945,Caffeic aldehyde,1.461,0.4028,3.627110228401192,0.010586244644003685,0.18069728146525774
Tier 2,,"trans-2,3-Epoxysuccinic acid",1.9236666666666669,0.5635666666666667,3.4133790737564325,0.04904771025884357,0.28927204683194147
Tier 1,HMDB0029019,Prolyl-Histidine,1.9240000000000002,0.5873333333333333,3.2758229284903524,0.01909789314343161,0.22410737099461905
Tier 2,C04577,15-OxoETE,1.4156666666666666,0.46900000000000003,3.0184790334044065,0.0442604191639754,0.2862173772603742
Tier 2,,N-Acetyl-(S)-Ureidoglycine,1.0543333333333333,0.3532666666666667,2.984525382147575,0.016464636449415548,0.2178128379534566
Tier 2,,N6-Acetyl-5-Phosphooxy-L-lysine,1.1576666666666666,0.40399999999999997,2.8655115511551155,0.044761417710546765,0.28709315957496007
Tier 2,C12455,5-Aminopentanal,1.5496666666666663,0.5517666666666666,2.808554340602911,0.0041725250608412486,0.1580467045612907
Tier 2,,"4,5-Dioxopentanoic acid",1.3086666666666666,0.4683333333333333,2.794306049822064,0.02025228305361266,0.22410737099461905
Tier 2,C05951,Leukotriene D4,2.0973333333333333,0.7616666666666667,2.7536105032822755,0.0016177947512970073,0.15036308743679616
Tier 1,C00164,Acetoacetic Acid,1.3096666666666668,0.5053666666666666,2.5915177099135946,0.012860224362340493,0.18711626447205415
Tier 2,,N-Acetyl-N-(L-Arginino)succinic acid,1.7786666666666668,0.694,2.5629202689721424,0.0027481293938983794,0.15036308743679616
Tier 1,C00106,Uracil,1.3536666666666666,0.531,2.5492780916509727,0.04360928328961805,0.28605610100083245
Tier 2,,2-Amino-2-deoxy-D-gluconic acid,0.8703333333333333,0.3546666666666667,2.453947368421052,0.010591224708373207,0.18069728146525774
Tier 2,,Maysin,1.9543333333333335,0.8039999999999999,2.430762852404644,0.03363083543562067,0.2693552232596041
Tier 2,,1-O-4-Hydroxybenzoyl-beta-D-Glucose,1.7326666666666666,0.7226666666666667,2.39760147601476,0.04000669218584868,0.2831298657556166
Tier 2,C19678,Germacrene A acid,1.3706666666666667,0.5737666666666666,2.3888921164236336,0.0027557954169401357,0.15036308743679616
Tier 2,,N-Acetyl-1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,1.1610000000000003,0.49146666666666666,2.3623168746608796,0.011181301079273766,0.18069728146525774
Tier 2,C17235,L-Homophenylalanine,1.4926666666666666,0.648,2.303497942386831,0.0069033094169744765,0.17725262120643287
Tier 2,C00431,Isomer 1 of 5-Aminopentanoic acid,2.086666666666667,0.9126666666666666,2.286340394448503,0.004446742134197053,0.1580467045612907
Tier 1,C00388,Histamine,0.6083333333333333,0.2753333333333334,2.2094430992736074,0.03467537121398051,0.27141797291500463
Tier 2,,Rhamnosylisoorientin,1.4083333333333332,0.6388333333333334,2.204539525176102,0.005586673039185897,0.16805251723762674
Tier 2,,Isomer 1 of Rhamnosylisoorientin,1.5953333333333333,0.7276666666666666,2.192395785616125,0.004707003801367191,0.1580467045612907
